feature,mean_abs_shap,normalized_importance
volatility_20,0.080103055,1.0
log_return_3m,0.050145116,0.62600756
sma_50,0.037971426,0.4740322
dist_sma_200,0.037826747,0.47222602
dmp_14,0.037095226,0.4630938
volume_ratio,0.03365694,0.4201705
atr_norm,0.028605139,0.3571042
log_return_6m,0.027448593,0.342666
sma_200,0.026649421,0.3326892
adxr_14_2,0.02634595,0.3289007
atr,0.024541792,0.3063777
volume_sma,0.02371753,0.2960877
rsi_21,0.023109213,0.2884935
dist_sma_50,0.02059018,0.25704613
slope_sma_50,0.019030191,0.23757136
volume_zscore,0.017083252,0.21326593
ma20,0.016257755,0.20296049
return_3m,0.01611071,0.2011248
adx_14,0.015767254,0.19683711
dmn_14,0.015080362,0.188262
price_rel_ma10,0.011348419,0.14167273
slope_rsi_14,0.00967857,0.120826475
ma10_ma20_cross_status,0.009676272,0.12079779
ma10,0.0075616804,0.0943994
volume,0.0066919927,0.083542295
rsi_7,0.006344531,0.07920461
return_6m,0.006339032,0.07913596
rsi_14,0.0063261045,0.078974575
close,0.005363226,0.06695408
high,0.004990721,0.062303755
low,0.0043322486,0.054083437
open,0.0035869733,0.044779483
