as_of,revenue,eps,available_at
2024-03-31 00:00:00+00:00,74432000.0,-0.1,2024-05-15 00:00:00+00:00
2024-06-30 00:00:00+00:00,88577000.0,0.04,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,90184000.0,0.2,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,112284000.0,,2025-02-14 00:00:00+00:00
