as_of,revenue,eps,available_at
2024-06-30 00:00:00+00:00,366835000.0,-1.45,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,359554000.0,-2.75,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,332624811.0,-4.05,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,300742000.0,-1.78,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,348976000.0,-2.32,2025-08-14 00:00:00+00:00
