as_of,revenue,eps,available_at
2024-09-30 00:00:00+00:00,108761000.0,0.12,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,121624000.0,0.19,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,143537000.0,0.7,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,157370000.0,0.92,2025-08-14 00:00:00+00:00
2025-09-30 00:00:00+00:00,143823000.0,0.66,2025-11-14 00:00:00+00:00
