date,open,high,low,close
2019-08-15 13:30:00+00:00,57.25,58.0,54.0,54.25
2019-08-16 13:30:00+00:00,54.5,58.0,54.5,55.0
2019-08-19 13:30:00+00:00,56.25,56.75,53.75,55.75
2019-08-20 13:30:00+00:00,56.0,56.5,54.75,54.75
2019-08-21 13:30:00+00:00,55.0,55.75,53.25,55.0
2019-08-22 13:30:00+00:00,55.5,55.75,51.0,51.0
2019-08-23 13:30:00+00:00,50.75,52.0,45.5,45.75
2019-08-26 13:30:00+00:00,47.75,48.5,45.5,47.0
2019-08-27 13:30:00+00:00,47.25,47.25,43.25,43.25
2019-08-28 13:30:00+00:00,43.25,45.75,42.75,44.75
2019-08-29 13:30:00+00:00,45.25,46.5,43.75,45.5
2019-08-30 13:30:00+00:00,46.0,46.25,36.5,38.5
2019-09-03 13:30:00+00:00,49.25,83.25,46.25,73.5
2019-09-04 13:30:00+00:00,68.25,74.25,64.0,74.25
2019-09-05 13:30:00+00:00,73.0,76.25,70.25,75.25
2019-09-06 13:30:00+00:00,74.75,84.75,71.25,74.5
2019-09-09 13:30:00+00:00,74.5,76.25,69.5,75.25
2019-09-10 13:30:00+00:00,75.0,80.5,72.0,79.25
2019-09-11 13:30:00+00:00,80.25,83.25,76.0,78.0
2019-09-12 13:30:00+00:00,78.0,82.0,76.75,78.5
2019-09-13 13:30:00+00:00,78.5,80.0,73.75,74.25
2019-09-16 13:30:00+00:00,73.5,75.25,71.75,74.75
2019-09-17 13:30:00+00:00,75.5,76.5,70.5,73.0
2019-09-18 13:30:00+00:00,73.0,82.25,72.25,80.0
2019-09-19 13:30:00+00:00,79.75,87.75,78.0,81.0
2019-09-20 13:30:00+00:00,80.75,85.0,79.75,81.5
2019-09-23 13:30:00+00:00,67.5,78.0,62.75,71.75
2019-09-24 13:30:00+00:00,71.25,72.0,66.25,69.0
2019-09-25 13:30:00+00:00,69.0,70.0,63.75,64.75
2019-09-26 13:30:00+00:00,64.5,65.0,58.25,58.5
2019-09-27 13:30:00+00:00,58.25,63.75,58.25,61.5
2019-09-30 13:30:00+00:00,61.0,62.5,55.25,56.5
2019-10-01 13:30:00+00:00,55.75,58.75,55.75,57.0
2019-10-02 13:30:00+00:00,56.75,56.75,51.75,55.5
2019-10-03 13:30:00+00:00,55.5,57.5,54.25,56.5
2019-10-04 13:30:00+00:00,56.5,58.5,53.75,56.25
2019-10-07 13:30:00+00:00,57.0,61.75,56.0,59.5
2019-10-08 13:30:00+00:00,59.25,61.25,56.5,57.25
2019-10-09 13:30:00+00:00,57.5,59.5,55.0,55.25
2019-10-10 13:30:00+00:00,55.5,57.0,53.75,55.0
2019-10-11 13:30:00+00:00,55.5,57.75,54.0,56.0
2019-10-14 13:30:00+00:00,55.25,56.25,52.0,54.25
2019-10-15 13:30:00+00:00,55.5,71.0,55.25,67.75
2019-10-16 13:30:00+00:00,68.0,70.5,60.5,61.0
2019-10-17 13:30:00+00:00,59.75,62.5,55.25,56.5
2019-10-18 13:30:00+00:00,55.5,59.75,52.75,54.25
2019-10-21 13:30:00+00:00,54.0,57.5,53.0,56.5
2019-10-22 13:30:00+00:00,56.75,61.25,56.75,59.75
2019-10-23 13:30:00+00:00,59.75,62.5,57.5,59.75
2019-10-24 13:30:00+00:00,60.5,61.0,57.0,57.0
2019-10-25 13:30:00+00:00,58.5,64.75,56.0,62.5
2019-10-28 13:30:00+00:00,62.25,65.5,58.75,64.25
2019-10-29 13:30:00+00:00,63.0,65.25,61.75,62.5
2019-10-30 13:30:00+00:00,62.5,64.0,59.5,62.75
2019-10-31 13:30:00+00:00,62.5,62.5,58.25,59.25
2019-11-01 13:30:00+00:00,60.0,64.75,59.0,63.25
2019-11-04 14:30:00+00:00,64.25,68.25,64.0,66.25
2019-11-05 14:30:00+00:00,66.25,69.5,65.75,67.0
2019-11-06 14:30:00+00:00,67.25,68.0,64.5,65.25
2019-11-07 14:30:00+00:00,65.75,68.5,64.5,68.0
2019-11-08 14:30:00+00:00,66.75,68.0,64.5,65.75
2019-11-11 14:30:00+00:00,66.75,66.75,61.5,62.25
2019-11-12 14:30:00+00:00,62.5,64.75,57.0,57.25
2019-11-13 14:30:00+00:00,57.5,61.75,55.25,58.25
2019-11-14 14:30:00+00:00,60.75,62.5,56.25,56.75
2019-11-15 14:30:00+00:00,57.0,60.0,55.75,58.0
2019-11-18 14:30:00+00:00,56.75,57.75,55.25,55.75
2019-11-19 14:30:00+00:00,55.0,59.25,55.0,58.25
2019-11-20 14:30:00+00:00,58.0,62.5,58.0,60.75
2019-11-21 14:30:00+00:00,61.0,62.25,58.25,60.5
