date,open,high,low,close
2021-04-01 13:30:00+00:00,240.0,240.0,240.0,240.0
2021-04-05 13:30:00+00:00,240.0,240.0,240.0,240.0
2021-04-06 13:30:00+00:00,250.0,250.0,248.75,248.75
2021-04-07 13:30:00+00:00,248.75,248.75,248.75,248.75
2021-04-08 13:30:00+00:00,248.75,248.75,248.75,248.75
2021-04-09 13:30:00+00:00,249.75,249.75,248.75,248.75
2021-04-12 13:30:00+00:00,248.75,250.25,248.5,248.5
2021-04-13 13:30:00+00:00,247.5,249.25,245.25,248.25
2021-04-14 13:30:00+00:00,251.0,254.27499389648438,250.0,251.0
2021-04-15 13:30:00+00:00,251.0,251.0,251.0,251.0
2021-04-16 13:30:00+00:00,251.0,251.0,251.0,251.0
2021-04-19 13:30:00+00:00,251.0,251.0,251.0,251.0
2021-04-20 13:30:00+00:00,253.5,253.5,241.5,242.25
2021-04-21 13:30:00+00:00,243.5,243.5,243.0,243.5
2021-04-22 13:30:00+00:00,243.75,243.75,243.75,243.75
2021-04-23 13:30:00+00:00,243.25,243.25,243.25,243.25
2021-04-26 13:30:00+00:00,243.25,243.25,243.25,243.25
2021-04-27 13:30:00+00:00,242.75,246.25,242.75,246.25
2021-04-28 13:30:00+00:00,246.25,246.25,246.25,246.25
2021-04-29 13:30:00+00:00,243.0,245.0,243.0,245.0
2021-04-30 13:30:00+00:00,244.0,244.25,244.0,244.25
2021-05-03 13:30:00+00:00,244.25,244.25,242.75,243.75
2021-05-04 13:30:00+00:00,242.75,246.25,242.75,243.25
2021-05-05 13:30:00+00:00,243.0,246.0,242.5,244.75
2021-05-06 13:30:00+00:00,244.75,244.75,243.875,243.875
2021-05-07 13:30:00+00:00,243.25,243.25,243.0,243.0
2021-05-10 13:30:00+00:00,242.75,244.75,242.75,244.75
2021-05-11 13:30:00+00:00,242.5,242.5,242.5,242.5
2021-05-12 13:30:00+00:00,247.25,247.25,245.0,247.0
2021-05-13 13:30:00+00:00,248.5,248.5,246.25,246.5
2021-05-14 13:30:00+00:00,246.25,247.5,245.25,246.25
2021-05-17 13:30:00+00:00,246.25,247.5,245.25,245.75
2021-05-18 13:30:00+00:00,246.25,246.75,242.75,244.75
2021-05-19 13:30:00+00:00,245.25,245.75,244.25,245.0
2021-05-20 13:30:00+00:00,248.75,248.75,244.5,246.0
2021-05-21 13:30:00+00:00,246.375,247.0,244.5,246.5
2021-05-24 13:30:00+00:00,247.5,247.5,246.25,246.25
2021-05-25 13:30:00+00:00,247.25,247.25,246.25,246.25
2021-05-26 13:30:00+00:00,247.0,247.25,245.25,246.25
2021-05-27 13:30:00+00:00,246.25,246.875,246.0,246.5
2021-05-28 13:30:00+00:00,246.25,247.75,246.25,246.5
2021-06-01 13:30:00+00:00,247.75,248.75,246.625,248.25
2021-06-02 13:30:00+00:00,248.25,248.25,246.25,247.75
2021-06-03 13:30:00+00:00,247.75,248.25,247.375,248.0
2021-06-04 13:30:00+00:00,248.25,248.25,247.5,248.0
