as_of,eps,revenue,available_at
2024-05-31 00:00:00+00:00,0.26,416847000.0,2024-07-15 00:00:00+00:00
2024-08-31 00:00:00+00:00,0.74,474221000.0,2024-10-15 00:00:00+00:00
2024-11-30 00:00:00+00:00,2.17,530706000.0,2025-01-14 00:00:00+00:00
2025-02-28 00:00:00+00:00,,485891000.0,2025-04-14 00:00:00+00:00
2025-05-31 00:00:00+00:00,-19.65,371655000.0,2025-07-15 00:00:00+00:00
