as_of,revenue,eps,available_at
2024-09-30 00:00:00+00:00,1963000000.0,2.47,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,1077000000.0,10.79,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,2320000000.0,-5.080494,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,790000000.0,1.02,2025-08-14 00:00:00+00:00
2025-09-30 00:00:00+00:00,1708000000.0,7.89,2025-11-14 00:00:00+00:00
