as_of,revenue,eps,available_at
2024-07-31 00:00:00+00:00,459128000.0,1.89,2024-09-14 00:00:00+00:00
2024-10-31 00:00:00+00:00,452482000.0,1.79,2024-12-15 00:00:00+00:00
2025-01-31 00:00:00+00:00,397580000.0,1.09,2025-03-17 00:00:00+00:00
2025-04-30 00:00:00+00:00,400395000.0,1.71,2025-06-14 00:00:00+00:00
2025-07-31 00:00:00+00:00,403046000.0,1.0,2025-09-14 00:00:00+00:00
