as_of,revenue,eps,available_at
2024-09-30 00:00:00+00:00,278242000.0,0.24,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,225672000.0,0.3,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,211831000.0,0.24,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,155267000.0,0.04,2025-08-14 00:00:00+00:00
2025-09-30 00:00:00+00:00,164645000.0,0.08,2025-11-14 00:00:00+00:00
