as_of,eps,revenue,available_at
2024-03-31 00:00:00+00:00,0.2,,2024-05-15 00:00:00+00:00
2024-06-30 00:00:00+00:00,0.26,7784000.0,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,,8778000.0,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,0.36,9708000.0,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,0.33,9276000.0,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,0.26,8054000.0,2025-08-14 00:00:00+00:00
