date,open,high,low,close,volume
2014-11-13 14:30:00+00:00,382.5,387.0,236.25,291.0,8367
2014-11-14 14:30:00+00:00,288.0,300.75,255.0,300.75,943
2014-11-17 14:30:00+00:00,291.75,303.0,279.75,303.0,561
2014-11-18 14:30:00+00:00,302.25,302.25,292.5,300.0,311
2014-11-19 14:30:00+00:00,291.375,299.25,270.0,292.5,348
2014-11-20 14:30:00+00:00,286.3500061035156,291.75,275.32501220703125,285.0,163
2014-11-21 14:30:00+00:00,270.0,294.0,270.0,293.25,293
2014-11-24 14:30:00+00:00,293.25,293.25,270.0,270.0,145
2014-11-25 14:30:00+00:00,270.0,293.25,263.25,278.25,168
2014-11-26 14:30:00+00:00,292.5,292.5,248.25,248.25,151
2014-11-28 14:30:00+00:00,237.0,255.0,237.0,249.75,71
2014-12-01 14:30:00+00:00,237.75,258.75,237.75,253.5,123
2014-12-02 14:30:00+00:00,240.0,245.25,206.25,217.5,165
2014-12-03 14:30:00+00:00,210.0,210.0,180.75,189.0,147
2014-12-04 14:30:00+00:00,207.75,224.25,195.0,195.0,59
2014-12-05 14:30:00+00:00,235.5,235.5,187.5,203.1750030517578,104
2014-12-08 14:30:00+00:00,228.0,228.0,199.875,199.875,32
2014-12-09 14:30:00+00:00,202.5,202.5,202.5,202.5,8
2014-12-10 14:30:00+00:00,202.5,202.5,202.5,202.5,0
2014-12-11 14:30:00+00:00,138.75,214.5,138.75,202.5,49
2014-12-12 14:30:00+00:00,194.25,211.1999969482422,181.5,187.5,72
2014-12-15 14:30:00+00:00,187.5,188.39999389648438,173.25,173.25,52
2014-12-16 14:30:00+00:00,172.5,172.5,157.35000610351562,157.5,139
2014-12-17 14:30:00+00:00,153.4499969482422,153.4499969482422,120.0,124.5,421
2014-12-18 14:30:00+00:00,117.75,163.5,116.25,124.5,483
2014-12-19 14:30:00+00:00,125.25,141.0,125.25,125.25,123
2014-12-22 14:30:00+00:00,126.0,128.25,120.0,123.75,23
2014-12-23 14:30:00+00:00,104.25,120.0,103.5,118.5,111
2014-12-24 14:30:00+00:00,124.125,127.5,114.75,126.0,17
2014-12-26 14:30:00+00:00,126.0,126.0,126.0,126.0,0
2014-12-29 14:30:00+00:00,99.75,129.0,99.75,129.0,64
2014-12-30 14:30:00+00:00,99.0,123.0,99.0,112.5,293
2014-12-31 14:30:00+00:00,123.75,123.75,106.5,111.9000015258789,275
2015-01-02 14:30:00+00:00,108.0,121.80000305175781,108.0,112.5,19
2015-01-05 14:30:00+00:00,117.0,131.25,117.0,119.8499984741211,137
2015-01-06 14:30:00+00:00,120.75,126.75,112.5,126.75,52
2015-01-07 14:30:00+00:00,112.5,123.82499694824219,112.5,123.0,12
2015-01-08 14:30:00+00:00,126.75,128.25,126.0,127.5,61
2015-01-09 14:30:00+00:00,126.0,138.0,126.0,138.0,83
2015-01-12 14:30:00+00:00,134.25,135.0,134.25,135.0,99
2015-01-13 14:30:00+00:00,135.0,148.9499969482422,135.0,141.8249969482422,337
2015-01-14 14:30:00+00:00,138.0,146.25,126.75,138.75,97
2015-01-15 14:30:00+00:00,132.75,133.5,122.25,124.5,64
2015-01-16 14:30:00+00:00,120.75,135.0,120.75,132.0,16
2015-01-20 14:30:00+00:00,123.75,134.47500610351562,120.0,120.75,45
2015-01-21 14:30:00+00:00,127.5,127.5,127.5,127.5,1
2015-01-22 14:30:00+00:00,116.25,139.5,102.75,109.5,335
2015-01-23 14:30:00+00:00,114.75,114.75,99.0,99.0,156
2015-01-26 14:30:00+00:00,99.0,99.0,88.5,90.0,72
2015-01-27 14:30:00+00:00,87.0,88.5,76.5,88.5,204
2015-01-28 14:30:00+00:00,87.0,93.75,87.0,91.5,21
2015-01-29 14:30:00+00:00,100.5,105.75,100.5,105.75,17
2015-01-30 14:30:00+00:00,111.75,111.75,94.5,99.75,32
2015-02-02 14:30:00+00:00,101.25,168.75,99.0,126.75,1452
2015-02-03 14:30:00+00:00,131.25,137.25,116.25,121.5,127
2015-02-04 14:30:00+00:00,119.25,150.0,114.0,117.75,188
2015-02-05 14:30:00+00:00,136.5,136.5,124.5,125.25,193
2015-02-06 14:30:00+00:00,129.0,129.75,128.25,128.25,24
2015-02-09 14:30:00+00:00,124.94999694824219,126.75,124.5,125.25,11
2015-02-10 14:30:00+00:00,125.25,126.0,125.25,126.0,108
2015-02-11 14:30:00+00:00,133.4250030517578,133.4250030517578,125.69999694824219,125.69999694824219,7
2015-02-12 14:30:00+00:00,129.0,129.0,123.0,124.5,121
2015-02-13 14:30:00+00:00,124.5,138.0,118.5,132.75,111
2015-02-17 14:30:00+00:00,123.75,182.25,123.75,182.25,1117
2015-02-18 14:30:00+00:00,231.75,510.0,225.0,447.0,99885
2015-02-19 14:30:00+00:00,442.5,517.5,396.75,441.0,88089
2015-02-20 14:30:00+00:00,418.5,460.5,390.75,408.75,21833
2015-02-23 14:30:00+00:00,390.0,489.82501220703125,384.0,487.5,14100
2015-02-24 14:30:00+00:00,562.5,614.25,474.75,521.25,63863
2015-02-25 14:30:00+00:00,480.75,505.5,450.0,477.75,10644
2015-02-26 14:30:00+00:00,477.75,549.0,431.25,523.5,16548
2015-02-27 14:30:00+00:00,502.5,543.75,457.5,472.5,7044
2015-03-02 14:30:00+00:00,473.25,501.75,457.5,480.75,5109
2015-03-03 14:30:00+00:00,489.75,587.25,473.25,562.5,10563
2015-03-04 14:30:00+00:00,562.5,742.5,524.25,656.25,28636
2015-03-05 14:30:00+00:00,618.75,618.75,504.75,552.75,28828
2015-03-06 14:30:00+00:00,575.25,600.0,533.25,533.25,6401
2015-03-09 13:30:00+00:00,556.5,556.5,443.25,458.25,4505
2015-03-10 13:30:00+00:00,477.75,477.75,408.0,415.5,6865
2015-03-11 13:30:00+00:00,412.5,549.75,386.25,528.0,20439
2015-03-12 13:30:00+00:00,525.0,546.0,432.82501220703125,458.25,8927
2015-03-13 13:30:00+00:00,464.25,485.25,442.5,477.0,2535
2015-03-16 13:30:00+00:00,460.5,504.75,426.75,471.0,4993
2015-03-17 13:30:00+00:00,478.5,480.0,453.75,465.75,1485
2015-03-18 13:30:00+00:00,468.75,468.82501220703125,453.75,454.5,1396
2015-03-19 13:30:00+00:00,454.5,459.75,423.75,427.5,2876
2015-03-20 13:30:00+00:00,427.5,427.5,397.5,402.75,3557
2015-03-23 13:30:00+00:00,456.0,539.25,449.25,473.25,55197
2015-03-24 13:30:00+00:00,470.25,480.75,435.0,460.5,5855
2015-03-25 13:30:00+00:00,459.0,459.0,435.0,442.5,2711
2015-03-26 13:30:00+00:00,439.5,449.25,423.75,432.75,2167
2015-03-27 13:30:00+00:00,443.1000061035156,487.5,427.5,450.75,6484
2015-03-30 13:30:00+00:00,442.5,476.4750061035156,442.5,454.5,1671
2015-03-31 13:30:00+00:00,460.5,521.25,459.6000061035156,480.0,10509
2015-04-01 13:30:00+00:00,477.75,537.0,477.75,524.25,13419
2015-04-02 13:30:00+00:00,553.5,618.0,543.75,558.75,27179
2015-04-06 13:30:00+00:00,585.0,609.75,531.75,543.75,12753
2015-04-07 13:30:00+00:00,532.5,558.75,529.5,551.25,2592
2015-04-08 13:30:00+00:00,546.0,561.75,461.25,506.25,10228
2015-04-09 13:30:00+00:00,495.0,513.75,480.0,491.625,3324
2015-04-10 13:30:00+00:00,489.0,505.5,477.0,501.0,2427
2015-04-13 13:30:00+00:00,497.25,558.75,497.25,531.0,5487
2015-04-14 13:30:00+00:00,528.75,556.5,528.75,538.5,1555
2015-04-15 13:30:00+00:00,535.5,555.0,507.0,525.0,1688
2015-04-16 13:30:00+00:00,525.0,525.0,495.0,509.25,1461
2015-04-17 13:30:00+00:00,511.5,536.25,496.3500061035156,519.75,1381
2015-04-20 13:30:00+00:00,528.0,528.0,498.75,501.75,1048
2015-04-21 13:30:00+00:00,495.75,600.0,495.75,546.0,17272
2015-04-22 13:30:00+00:00,558.75,579.0,517.5,524.25,3824
2015-04-23 13:30:00+00:00,528.0,532.5,512.25,514.5,1803
2015-04-24 13:30:00+00:00,512.25,546.75,502.5,515.25,1567
2015-04-27 13:30:00+00:00,516.0,516.75,468.75,486.75,4660
2015-04-28 13:30:00+00:00,491.25,523.5,486.0,508.5,1695
2015-04-29 13:30:00+00:00,508.5,508.5,483.75,492.75,2075
2015-04-30 13:30:00+00:00,496.5,496.5,450.0,473.25,4044
2015-05-01 13:30:00+00:00,465.75,470.92498779296875,432.0,450.75,2433
2015-05-04 13:30:00+00:00,438.82501220703125,453.75,413.25,426.0,2484
2015-05-05 13:30:00+00:00,427.5,427.5,375.0,386.1000061035156,3479
2015-05-06 13:30:00+00:00,381.0,408.0,325.5,352.5,7943
2015-05-07 13:30:00+00:00,345.75,351.75,288.75,319.5,3912
2015-05-08 13:30:00+00:00,315.0,377.25,303.75,370.5,3747
2015-05-11 13:30:00+00:00,373.5,375.0,333.75,350.625,2121
2015-05-12 13:30:00+00:00,357.0,387.0,337.5,375.0,2019
2015-05-13 13:30:00+00:00,375.0,378.75,345.0,356.25,1328
2015-05-14 13:30:00+00:00,357.75,363.0,345.0,353.25,468
2015-05-15 13:30:00+00:00,358.5,358.5,339.75,349.5,779
2015-05-18 13:30:00+00:00,341.25,360.0,339.75,360.0,608
2015-05-19 13:30:00+00:00,355.5,369.75,334.125,355.5,1196
2015-05-20 13:30:00+00:00,353.25,367.5,345.0,360.07501220703125,867
2015-05-21 13:30:00+00:00,360.75,361.5,321.75,345.0,1937
2015-05-22 13:30:00+00:00,341.25,341.25,318.75,327.75,1044
2015-05-26 13:30:00+00:00,323.25,325.5,300.75,321.0,619
2015-05-27 13:30:00+00:00,323.3999938964844,323.3999938964844,306.0,317.25,455
2015-05-28 13:30:00+00:00,313.5,317.25,307.5,314.25,481
2015-05-29 13:30:00+00:00,316.5,368.3999938964844,286.5,326.25,4219
2015-06-01 13:30:00+00:00,324.0,345.75,303.75,318.75,3063
2015-06-02 13:30:00+00:00,315.75,327.75,301.5,304.57501220703125,968
2015-06-03 13:30:00+00:00,304.5,366.0,286.5,356.25,18027
2015-06-04 13:30:00+00:00,349.5,359.17498779296875,324.0,326.25,2139
2015-06-05 13:30:00+00:00,320.25,331.5,311.25,325.5,624
2015-06-08 13:30:00+00:00,327.0,333.75,311.25,312.75,755
2015-06-09 13:30:00+00:00,311.25,321.75,296.25,309.0,1473
2015-06-10 13:30:00+00:00,311.25,312.5249938964844,288.75,303.75,1363
2015-06-11 13:30:00+00:00,304.5,309.375,279.0,297.0,741
2015-06-12 13:30:00+00:00,293.25,299.25,285.0,291.75,608
2015-06-15 13:30:00+00:00,290.25,298.3500061035156,264.0,268.5,2028
2015-06-16 13:30:00+00:00,270.0,311.25,249.0,295.5,5124
2015-06-17 13:30:00+00:00,294.0,295.5,267.75,279.0,1103
2015-06-18 13:30:00+00:00,281.25,298.875,256.5,285.0,1152
2015-06-19 13:30:00+00:00,288.75,291.6000061035156,265.5,276.0,480
2015-06-22 13:30:00+00:00,280.5,280.5,251.25,251.25,680
2015-06-23 13:30:00+00:00,255.75,274.5,252.3000030517578,266.25,808
2015-06-24 13:30:00+00:00,267.75,269.25,255.0,256.5,791
2015-06-25 13:30:00+00:00,255.0,259.5,234.75,251.25,1300
2015-06-26 13:30:00+00:00,270.0,270.0,198.0,214.5,2219
2015-06-29 13:30:00+00:00,211.5,228.0,208.5,224.25,1516
2015-06-30 13:30:00+00:00,220.5,225.0,209.25,210.75,709
2015-07-01 13:30:00+00:00,217.5,228.0,197.25,205.5,1296
2015-07-02 13:30:00+00:00,206.25,220.1999969482422,194.25,198.75,424
2015-07-06 13:30:00+00:00,195.0,216.75,188.25,198.0,1728
2015-07-07 13:30:00+00:00,191.25,207.75,191.25,204.75,1460
2015-07-08 13:30:00+00:00,215.25,215.25,201.75,211.5,348
2015-07-09 13:30:00+00:00,213.75,213.75,198.75,213.0,140
2015-07-10 13:30:00+00:00,211.5,213.75,201.0,208.4250030517578,88
2015-07-13 13:30:00+00:00,211.5,231.0,211.5,221.25,672
2015-07-14 13:30:00+00:00,221.25,234.0,204.75,228.75,515
2015-07-15 13:30:00+00:00,232.5,233.85000610351562,223.5,225.75,544
2015-07-16 13:30:00+00:00,228.75,228.75,214.5,220.5,327
2015-07-17 13:30:00+00:00,207.75,224.25,207.75,213.75,412
2015-07-20 13:30:00+00:00,213.75,219.0,204.0,207.75,432
2015-07-21 13:30:00+00:00,207.0,220.5,203.25,213.75,127
2015-07-22 13:30:00+00:00,199.5,222.75,199.5,210.75,193
2015-07-23 13:30:00+00:00,224.25,225.0,194.25,197.25,911
2015-07-24 13:30:00+00:00,201.75,207.75,191.25,191.25,455
2015-07-27 13:30:00+00:00,198.75,209.625,189.0,203.25,1700
2015-07-28 13:30:00+00:00,205.5,205.5,189.52499389648438,191.25,443
2015-07-29 13:30:00+00:00,192.75,196.5,179.25,183.0,767
2015-07-30 13:30:00+00:00,183.0,183.0,153.75,160.5,936
2015-07-31 13:30:00+00:00,162.75,170.10000610351562,153.0,164.25,123
2015-08-03 13:30:00+00:00,168.0,168.0,135.75,142.5,1992
2015-08-04 13:30:00+00:00,146.25,154.875,128.25,128.25,2885
2015-08-05 13:30:00+00:00,150.0,150.0,80.25,86.25,4439
2015-08-06 13:30:00+00:00,94.5,223.5,94.5,161.77499389648438,86373
2015-08-07 13:30:00+00:00,161.25,173.25,137.25,153.75,13903
2015-08-10 13:30:00+00:00,156.75,163.5,127.5,138.75,3052
2015-08-11 13:30:00+00:00,150.75,150.75,129.75,132.0,2391
2015-08-12 13:30:00+00:00,128.25,137.6999969482422,120.75,122.25,2765
2015-08-13 13:30:00+00:00,123.2249984741211,303.0,123.2249984741211,236.39999389648438,175101
2015-08-14 13:30:00+00:00,213.75,240.0,187.5,191.25,18856
2015-08-17 13:30:00+00:00,187.5,198.75,168.75,180.0,7097
2015-08-18 13:30:00+00:00,187.5,207.0,175.5,197.25,11665
2015-08-19 13:30:00+00:00,186.0,195.0,175.5,179.25,3777
2015-08-20 13:30:00+00:00,177.75,181.5,168.75,170.25,2960
2015-08-21 13:30:00+00:00,165.0,172.5,138.0,149.25,5141
2015-08-24 13:30:00+00:00,144.75,144.75,135.0,138.75,3085
2015-08-25 13:30:00+00:00,144.0,144.0,131.25,136.5,1417
2015-08-26 13:30:00+00:00,137.25,142.875,120.0,141.0,2035
2015-08-27 13:30:00+00:00,138.75,184.5,127.125,168.0,6087
2015-08-28 13:30:00+00:00,165.0,183.75,148.5,170.25,3520
2015-08-31 13:30:00+00:00,172.5,183.0,157.5,173.25,2200
2015-09-01 13:30:00+00:00,179.25,179.25,159.3000030517578,165.75,1176
2015-09-02 13:30:00+00:00,174.75,175.5,155.25,165.75,1128
2015-09-03 13:30:00+00:00,168.0,180.0,152.25,159.0,2563
2015-09-04 13:30:00+00:00,156.75,171.89999389648438,146.25,151.5,1547
2015-09-08 13:30:00+00:00,180.0,258.75,174.0,189.75,99049
2015-09-09 13:30:00+00:00,176.25,184.5,162.0,169.5,7723
2015-09-10 13:30:00+00:00,171.0,191.25,167.3249969482422,183.75,8703
2015-09-11 13:30:00+00:00,183.0,187.5,170.25,183.75,2699
2015-09-14 13:30:00+00:00,177.75,185.25,168.75,172.5,2527
2015-09-15 13:30:00+00:00,172.5,234.75,172.5,210.0,61628
2015-09-16 13:30:00+00:00,210.0,232.5,197.625,206.25,26820
2015-09-17 13:30:00+00:00,210.75,219.0,195.75,201.0,7120
2015-09-18 13:30:00+00:00,204.0,215.25,200.39999389648438,207.75,6067
2015-09-21 13:30:00+00:00,213.75,213.75,198.75,201.75,2728
2015-09-22 13:30:00+00:00,197.25,201.75,173.25,188.25,4701
2015-09-23 13:30:00+00:00,188.25,192.75,178.5,180.0,1432
2015-09-24 13:30:00+00:00,213.75,238.5,192.75,198.0,40609
2015-09-25 13:30:00+00:00,200.25,200.25,180.75,181.5,5239
2015-09-28 13:30:00+00:00,182.25,184.5,161.25,175.5,2805
2015-09-29 13:30:00+00:00,180.0,187.64999389648438,165.0,165.75,1548
2015-09-30 13:30:00+00:00,174.75,174.75,154.5,158.25,2343
2015-10-01 13:30:00+00:00,161.25,168.75,152.25,161.25,2356
2015-10-02 13:30:00+00:00,159.0,161.25,152.25,157.5,2047
