date,open,high,low,close
2019-12-04 14:30:00+00:00,28.0,29.5,26.5,27.5
2019-12-05 14:30:00+00:00,27.5,27.5,26.5,27.5
2019-12-06 14:30:00+00:00,26.5,28.0,26.5,27.0
2019-12-09 14:30:00+00:00,26.5,29.5,26.5,26.5
2019-12-10 14:30:00+00:00,26.5,28.0,26.5,27.5
2019-12-11 14:30:00+00:00,26.5,28.0,26.5,27.0
2019-12-12 14:30:00+00:00,27.0,27.5,25.5,27.5
2019-12-13 14:30:00+00:00,27.0,27.0,24.5,26.0
2019-12-16 14:30:00+00:00,25.0,27.0,25.0,26.0
2019-12-17 14:30:00+00:00,25.0,26.5,25.0,26.5
2019-12-18 14:30:00+00:00,25.0,27.5,22.5,26.0
2019-12-19 14:30:00+00:00,25.0,25.0,23.5,24.5
2019-12-20 14:30:00+00:00,27.5,27.5,22.5,25.0
2019-12-23 14:30:00+00:00,26.5,27.5,23.5,27.0
2019-12-24 14:30:00+00:00,26.0,27.5,24.0,27.0
2019-12-26 14:30:00+00:00,26.0,27.0,25.0,27.0
2019-12-27 14:30:00+00:00,25.5,27.0,25.5,25.5
2019-12-30 14:30:00+00:00,25.5,26.5,25.5,25.5
2019-12-31 14:30:00+00:00,25.0,26.0,25.0,25.5
2020-01-02 14:30:00+00:00,25.0,27.5,25.0,26.0
2020-01-03 14:30:00+00:00,25.5,29.5,25.5,29.5
2020-01-06 14:30:00+00:00,29.5,29.5,27.5,28.0
2020-01-07 14:30:00+00:00,27.0,36.5,25.5,35.5
2020-01-08 14:30:00+00:00,37.5,40.0,31.5,37.0
2020-01-09 14:30:00+00:00,36.0,36.5,33.0,33.5
2020-01-10 14:30:00+00:00,34.5,36.0,34.0,34.5
2020-01-13 14:30:00+00:00,35.5,40.0,34.0,36.5
2020-01-14 14:30:00+00:00,36.5,36.5,31.0,34.0
2020-01-15 14:30:00+00:00,33.5,35.0,32.0,33.5
2020-01-16 14:30:00+00:00,34.5,34.5,32.5,33.0
2020-01-17 14:30:00+00:00,33.5,33.5,32.5,33.5
2020-01-21 14:30:00+00:00,33.0,34.5,32.5,33.0
2020-01-22 14:30:00+00:00,34.5,34.5,33.0,33.5
2020-01-23 14:30:00+00:00,33.5,34.5,33.5,34.0
2020-01-24 14:30:00+00:00,34.5,38.5,34.5,35.5
2020-01-27 14:30:00+00:00,35.0,35.0,33.5,34.0
2020-01-28 14:30:00+00:00,34.5,34.5,27.5,29.0
2020-01-29 14:30:00+00:00,30.299999237060547,31.5,28.799999237060547,31.5
2020-01-30 14:30:00+00:00,30.600000381469727,30.600000381469727,28.799999237060547,29.100000381469727
2020-01-31 14:30:00+00:00,28.799999237060547,30.0,28.5,28.5
2020-02-03 14:30:00+00:00,29.700000762939453,48.29999923706055,29.200000762939453,42.5
2020-02-04 14:30:00+00:00,42.0,54.400001525878906,38.099998474121094,41.599998474121094
2020-02-05 14:30:00+00:00,40.5,44.5,38.599998474121094,39.79999923706055
2020-02-06 14:30:00+00:00,37.900001525878906,39.5,37.0,37.400001525878906
