as_of,eps,revenue,available_at
2024-09-30 00:00:00+00:00,0.1,133528000.0,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,0.09,153038000.0,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,0.05,134066000.0,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,0.1,149204000.0,2025-08-14 00:00:00+00:00
2025-09-30 00:00:00+00:00,0.04,154358000.0,2025-11-14 00:00:00+00:00
