as_of,eps,revenue,available_at
2024-06-30 00:00:00+00:00,1.75,110177000.0,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,2.11,145165000.0,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,2.1,144070000.0,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,2.21,148148000.0,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,2.21,151176000.0,2025-08-14 00:00:00+00:00
