as_of,eps,revenue,available_at
2024-09-30 00:00:00+00:00,0.32,1269005000.0,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,0.87,1334500000.0,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,0.35,1254363000.0,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,0.11,1310537000.0,2025-08-14 00:00:00+00:00
2025-09-30 00:00:00+00:00,0.58,1288135000.0,2025-11-14 00:00:00+00:00
