ticker,entry_date,exit_date,entry_price,exit_price,initial_stop,hard_stop_price,hard_stop_pct,shares,capital_used,net_profit,return,bars_held,exit_reason,equity_after,cumulative_profit,equity,cum_return
LCFY,2024-08-14 13:30:00,2024-09-20 13:30:00,4.739999771118164,5.809999942779541,2.9579484978696606,4.0289998054504395,0.15000000000000002,1726,8181.239604949951,1828.6109967813493,0.22351270529651426,26,horizon_limit,83661.89593968735,1828.6109967813493,11828.61099678135,1.182861099678135
CMBM,2024-08-14 13:30:00,2024-09-12 13:30:00,1.5700000524520874,1.7200000286102295,1.0692289785864744,1.3345000445842743,0.15000000000000002,1438,2257.6600754261017,210.96894559884072,0.09344584151315308,20,horizon_limit,22789.508782241093,2039.57994238019,12039.579942380191,1.2039579942380192
SOND,2024-08-14 13:30:00,2024-08-30 13:30:00,2.25,7.093756472591662,0.7875851673313512,1.9124999999999999,0.15000000000000002,270337,608258.25,1306920.630437481,2.148627873830698,12,stop_loss,7389519.575134679,1308960.210379861,1318960.210379861,131.89602103798612
COOT,2024-08-14 13:30:00,2024-09-12 13:30:00,0.8700000047683716,0.8799999952316284,0.5999093000568774,0.7395000040531158,0.15000000000000002,2546,2215.020012140274,21.004475719451904,0.009482747606942036,20,horizon_limit,22173.319783169194,1308981.2148555806,1318981.2148555806,131.89812148555805
EM,2024-08-14 13:30:00,2024-08-28 13:30:00,0.7099999785423279,0.6587962724630055,0.5197361662096813,0.6034999817609786,0.15000000000000002,4958,3520.1798936128616,-260.6544665537646,-0.07404578016785598,10,stop_loss,34945.45162068455,1308720.5603890268,1318720.5603890268,131.87205603890268
UGRO,2024-08-14 13:30:00,2024-09-16 13:30:00,1.25,1.399999976158142,0.96449670831411,1.0625,0.15000000000000002,992790,1240987.5,146287.58285371185,0.11787998094558716,22,horizon_limit,12556169.920924483,1455008.1432427387,1465008.1432427387,146.50081432427388
UXIN,2024-08-14 13:30:00,2024-08-30 13:30:00,1.600000023841858,1.4119714763232538,1.232209930263212,1.360000020265579,0.15000000000000002,766322,1226115.2182705402,-146398.55261550125,-0.1194003226075273,12,stop_loss,12114756.02400498,1308609.5906272375,1318609.5906272375,131.86095906272374
OPTX,2024-08-14 13:30:00,2024-08-29 13:30:00,1.4700000286102295,1.433437594912855,0.7860240843266568,1.2495000243186951,0.15000000000000002,71486,105084.42204523087,-2821.2572772456806,-0.0268475309882881,11,stop_loss,1048037.5153760854,1305788.3333499918,1315788.3333499918,131.5788333349992
LSH,2024-08-14 13:30:00,2024-08-19 13:30:00,3.0999999046325684,2.634999918937683,1.398619643203967,2.634999918937683,0.15000000000000002,2615,8106.499750614166,-1230.9719871307616,-0.15185000000000007,3,hard_stop,79856.20016849917,1304557.361362861,1314557.361362861,131.4557361362861
TRIB,2024-08-14 13:30:00,2024-08-23 13:30:00,2.5299999713897705,2.150499975681305,1.5296764922083923,2.150499975681305,0.15000000000000002,425069,1075424.5578386784,-163303.21910780328,-0.15184999999999996,7,hard_stop,10590960.267835287,1141254.1422550578,1151254.1422550578,115.12541422550578
IMG,2024-08-14 13:30:00,2024-08-22 13:30:00,1.9600000381469729,1.666000032424927,-0.19257343017625161,1.666000032424927,0.15000000000000002,2289,4486.440087318421,-681.2659272593023,-0.15185,6,hard_stop,44575.42436115148,1140572.8763277985,1150572.8763277985,115.05728763277985
SPCB,2024-08-14 13:30:00,2024-08-16 13:30:00,4.0,4.089549159959742,2.742591483729088,3.4,0.15000000000000002,221182,884728.0,18017.399635917485,0.020364902699945616,2,stop_loss,8865323.328752046,1158590.275963716,1168590.275963716,116.8590275963716
PSNY,2024-08-14 13:30:00,2024-10-08 13:30:00,0.7570000290870667,1.5263583402942598,0.5122107603256545,0.6434500247240066,0.15000000000000002,233201,176533.16378313303,178882.64607673057,1.0133090136903897,38,stop_loss,1944214.3825130593,1337472.9220404467,1347472.9220404467,134.74729220404467
SATL,2024-08-14 13:30:00,2024-09-23 13:30:00,1.0,1.0,0.6782705055093005,0.85,0.15000000000000002,359355,359355.0,-718.71,-0.002,27,horizon_limit,3592833.167857734,1336754.2120404467,1346754.2120404467,134.67542120404468
BENF,2024-08-15 13:30:00,2024-08-26 13:30:00,2.364000082015991,2.0094000697135925,1.3929836352548561,2.0094000697135925,0.15000000000000002,805,1903.020066022873,-288.97359702557327,-0.15185,7,hard_stop,18753.133385127898,1336465.2384434212,1346465.2384434212,134.6465238443421
SPCB,2024-08-16 13:30:00,2024-08-28 13:30:00,3.799999952316284,3.2299999594688416,2.3117242914881917,3.2299999594688416,0.15000000000000002,233297,886528.5888755322,-134619.36622074957,-0.15185,8,hard_stop,8730703.962531297,1201845.8722226718,1211845.8722226718,121.18458722226717
LSH,2024-08-19 13:30:00,2024-09-17 13:30:00,2.549999952316284,2.8499999046325684,0.9364531487521757,2.1674999594688416,0.15000000000000002,3131,7984.049850702286,922.3924511501789,0.11552939528164947,20,horizon_limit,80778.59261964935,1202768.2646738219,1212768.2646738219,121.2768264673822
CCG,2024-08-19 13:30:00,2024-08-30 13:30:00,0.9449999928474426,0.8079079742133636,0.6823624064418006,0.8032499939203263,0.15000000000000002,2228,2105.459984064102,-309.3464964673396,-0.14692584936723324,9,stop_loss,20750.49615821147,1202458.9181773546,1212458.9181773546,121.24589181773545
IMG,2024-08-22 13:30:00,2024-08-27 13:30:00,1.6299999952316284,1.385499995946884,-0.0059583931695033066,1.385499995946884,0.15000000000000002,2734,4456.419986963272,-676.707375020373,-0.15185,3,hard_stop,43898.71698613111,1201782.2108023341,1211782.2108023341,121.17822108023341
TRIB,2024-08-23 13:30:00,2024-08-28 13:30:00,2.0,2.3210177314136806,1.1212985602611734,1.7,0.15000000000000002,529548,1059096.0,167706.1113370171,0.15834835684113346,3,stop_loss,10758666.379172305,1369488.3221393512,1379488.3221393512,137.9488322139351
BENF,2024-08-26 13:30:00,2024-08-28 13:30:00,1.9700000286102293,1.674500024318695,0.9846369242542662,1.674500024318695,0.15000000000000002,951,1873.470027208328,-284.48642363158456,-0.15184999999999998,2,hard_stop,18468.646961496313,1369203.8357157195,1379203.8357157195,137.92038357157196
IMG,2024-08-27 13:30:00,2024-09-11 13:30:00,1.3200000524520874,1.1220000445842742,-0.1363084741247651,1.1220000445842742,0.15000000000000002,3290,4342.800172567368,-659.4542062043553,-0.15185000000000012,10,hard_stop,43239.26277992676,1368544.3815095152,1378544.3815095152,137.85443815095152
SPCB,2024-08-28 13:30:00,2024-10-07 13:30:00,3.0299999713897705,3.509999990463257,1.7005552228874232,2.575499975681305,0.15000000000000002,288142,873070.2517561913,136423.71682686426,0.1562574335254767,27,horizon_limit,8867127.67935816,1504968.0983363795,1514968.0983363795,151.49680983363794
ADGM,2024-08-28 13:30:00,2024-09-23 13:30:00,4.340000152587891,3.689000129699707,0.6965931691207938,3.689000129699707,0.15000000000000002,224,972.1600341796875,-147.62250119018555,-0.15184999999999998,17,hard_stop,9602.254756573147,1504820.4758351892,1514820.4758351892,151.48204758351892
EM,2024-08-28 13:30:00,2024-09-12 13:30:00,0.6330000162124634,0.5461771556383859,0.4737393929293625,0.5380500137805938,0.15000000000000002,5520,3494.160089492798,-485.77124835752454,-0.13902375275199189,10,stop_loss,34459.68037232703,1504334.7045868316,1514334.7045868316,151.43347045868316
TRIB,2024-08-28 13:30:00,2024-09-03 13:30:00,2.1700000762939453,1.8445000648498535,1.102373607060079,1.8445000648498535,0.15000000000000002,495791,1075866.5078258514,-163370.32921335555,-0.15185,3,hard_stop,10595296.04995895,1340964.3753734762,1350964.3753734762,135.0964375373476
BENF,2024-08-29 13:30:00,2024-09-09 13:30:00,1.5800000429153442,2.198524469968681,0.629474249040278,1.3430000364780426,0.15000000000000002,1168,1845.440050125122,718.0232141672485,0.38907967458415466,6,stop_loss,19186.670175663563,1341682.3985876434,1351682.3985876434,135.16823985876434
OPTX,2024-08-29 13:30:00,2024-09-05 13:30:00,1.4119999408721924,1.2001999497413636,0.8555491395543947,1.2001999497413636,0.15000000000000002,74223,104802.87161135674,-15914.316054184517,-0.15184999999999998,4,hard_stop,1032123.1993219008,1325768.082533459,1335768.082533459,133.5768082533459
UXIN,2024-08-30 13:30:00,2024-10-01 13:30:00,1.409999966621399,6.02331213691226,1.0836939219508919,1.198499971628189,0.15000000000000002,859202,1211474.7913210392,3957380.3267122684,3.2665808278164725,21,stop_loss,16072136.35071725,5283148.409245728,5293148.409245728,529.3148409245728
CCG,2024-08-30 13:30:00,2024-09-05 13:30:00,0.7900000214576721,0.6715000182390213,0.47839172691378695,0.6715000182390213,0.15000000000000002,2626,2074.540056347847,-315.0189075564206,-0.15185,3,hard_stop,20435.47725065505,5282833.390338171,5292833.390338171,529.2833390338171
SOND,2024-08-30 13:30:00,2024-09-13 13:30:00,6.800000190734863,5.780000162124634,3.1833528339509676,5.780000162124634,0.15000000000000002,108669,738949.2207269669,-112209.4391673899,-0.15184999999999996,9,hard_stop,7277310.135967289,5170623.951170782,5180623.951170782,518.0623951170782
TRIB,2024-09-03 13:30:00,2024-09-18 13:30:00,1.7999999523162842,1.5299999594688416,0.8355300572455082,1.5299999594688416,0.15000000000000002,588627,1059528.5719320774,-160889.41364788593,-0.15184999999999998,11,hard_stop,10434406.636311064,5009734.537522895,5019734.537522895,501.9734537522895
OPTX,2024-09-05 13:30:00,2024-10-03 13:30:00,1.190000057220459,1.2100000381469729,0.7054771636202051,1.0115000486373902,0.15000000000000002,86733,103212.27496290207,1526.499137427826,0.01478989914694256,20,horizon_limit,1033649.6984593286,5011261.036660323,5021261.036660323,502.1261036660323
CCG,2024-09-05 13:30:00,2024-10-04 13:30:00,0.6679999828338623,0.75,0.3500960485992386,0.567799985408783,0.15000000000000002,3059,2043.4119474887848,246.50039056372643,0.12063176535042713,21,horizon_limit,20681.97764121878,5011507.537050887,5021507.537050887,502.1507537050887
BENF,2024-09-09 13:30:00,2024-09-11 13:30:00,1.7899999618530271,1.521499967575073,0.6364870619831375,1.521499967575073,0.15000000000000002,1071,1917.089959144592,-291.11011029610626,-0.15184999999999998,2,hard_stop,18895.560065367456,5011216.426940591,5021216.426940591,502.1216426940591
SGLY,2024-09-09 13:30:00,2024-09-10 13:30:00,2.549999952316284,2.1674999594688416,-0.8789687921974547,2.1674999594688416,0.15000000000000002,171779,438036.441808939,-66515.83368868739,-0.15185,1,hard_stop,4821258.538482341,4944700.593251904,4954700.593251904,495.47005932519033
IMG,2024-09-11 13:30:00,2024-09-16 13:30:00,1.100000023841858,0.9350000202655792,0.16310159412930225,0.9350000202655792,0.15000000000000002,3930,4323.000093698502,-656.4475642281177,-0.15185000000000004,3,hard_stop,42582.81521569864,4944044.145687675,4954044.145687675,495.4044145687675
BENF,2024-09-11 13:30:00,2024-09-13 13:30:00,1.5,1.275,0.4167669243643193,1.275,0.15000000000000002,1259,1888.5,-286.7687250000001,-0.15185000000000004,2,hard_stop,18608.791340367454,4943757.376962675,4953757.376962675,495.3757376962675
COOT,2024-09-12 13:30:00,2024-10-10 13:30:00,0.8799999952316284,0.8289999961853027,0.6235583919586938,0.7479999959468842,0.15000000000000002,2519,2216.719987988472,-132.77396857607366,-0.05989659014017252,20,horizon_limit,22040.54581459312,4943624.602994098,4953624.602994098,495.36246029940986
CMBM,2024-09-12 13:30:00,2024-10-04 13:30:00,1.7200000286102295,1.7183057202350271,1.3731383777417454,1.462000024318695,0.15000000000000002,1324,2277.280037879944,-6.795581100239027,-0.002984077929460726,16,stop_loss,22782.713201140854,4943617.807412998,4953617.807412998,495.36178074129975
EM,2024-09-12 13:30:00,2024-10-21 13:30:00,0.5320000052452087,0.7110000252723694,0.3701350613663405,0.4522000044584274,0.15000000000000002,6477,3445.764033973217,1151.3322185182572,0.3341297335414716,27,horizon_limit,35611.01259084528,4944769.139631516,4954769.139631516,495.4769139631516
SOND,2024-09-13 13:30:00,2024-09-17 13:30:00,5.539999961853027,4.708999967575073,2.7977939503298117,4.708999967575073,0.15000000000000002,131359,727728.8549890518,-110505.62663008757,-0.15185000000000007,2,hard_stop,7166804.509337202,4834263.513001429,4844263.513001429,484.42635130014287
IMG,2024-09-16 13:30:00,2024-09-19 13:30:00,0.9010000228881836,0.765850019454956,0.08050224806689044,0.765850019454956,0.15000000000000002,4726,4258.126108169556,-646.5964495255472,-0.15185000000000004,3,hard_stop,41936.21876617309,4833616.916551904,4843616.916551904,484.3616916551904
QSG,2024-09-16 13:30:00,2024-10-03 13:30:00,1.6269999742507937,3.219745073563012,1.357439310462068,1.3829499781131747,0.15000000000000002,116826,190075.89899182323,185507.81313529337,0.9759670432666144,13,stop_loss,2086276.2199465558,5019124.729687197,5029124.729687197,502.9124729687197
BENF,2024-09-17 13:30:00,2024-09-20 13:30:00,1.309999942779541,1.1134999513626098,0.4015503515979556,1.1134999513626098,0.15000000000000002,1420,1860.1999187469482,-282.47135766172414,-0.15185000000000004,3,hard_stop,18326.31998270573,5018842.258329536,5028842.258329536,502.8842258329536
UGRO,2024-09-17 13:30:00,2024-11-06 14:30:00,1.409999966621399,1.5457789218482523,1.148390715692627,1.198499971628189,0.15000000000000002,890508,1255616.2502760887,118280.10111474138,0.09420083651253605,36,stop_loss,12674450.022039223,5137122.359444277,5147122.359444277,514.7122359444278
LSH,2024-09-17 13:30:00,2024-09-18 13:30:00,2.8499999046325684,2.422499918937683,1.6319189396465519,2.422499918937683,0.15000000000000002,2834,8076.899729728699,-1226.4772239593033,-0.15185000000000004,1,hard_stop,79552.11539569005,5135895.882220318,5145895.882220318,514.5895882220318
SOND,2024-09-17 13:30:00,2024-10-08 13:30:00,4.699999809265137,3.994999837875366,1.977612960509449,3.994999837875366,0.15000000000000002,152485,716679.4709157944,-108827.77765856341,-0.15185000000000004,15,hard_stop,7057976.731678639,5027068.1045617545,5037068.1045617545,503.70681045617545
TRIB,2024-09-18 13:30:00,2024-09-20 13:30:00,1.5,1.275,0.8714759582885523,1.275,0.15000000000000002,695627,1043440.5,-158446.43992500007,-0.15185000000000007,2,hard_stop,10275960.196386063,4868621.664636754,4878621.664636754,487.86216646367546
LSH,2024-09-18 13:30:00,2024-10-21 13:30:00,2.390000104904175,2.8399999141693115,1.108924912913506,2.0315000891685484,0.15000000000000002,3328,7953.920349121094,1480.1939251708984,0.18609614632795002,23,horizon_limit,81032.30932086095,4870101.858561926,4880101.858561926,488.01018585619255
SGLY,2024-09-19 13:30:00,2024-09-25 13:30:00,1.7100000381469729,1.453500032424927,-0.7235564995708386,1.453500032424927,0.15000000000000002,245614,419999.9493694306,-63776.99231174803,-0.15184999999999998,4,hard_stop,4757481.546170593,4806324.866250178,4816324.866250178,481.6324866250178
LCFY,2024-09-20 13:30:00,2024-10-10 13:30:00,5.809999942779541,5.627429057996736,4.281860373203915,4.938499951362609,0.15000000000000002,1439,8360.58991765976,-279.17796353457396,-0.033392136952546475,14,stop_loss,83382.71797615278,4806045.6882866435,4816045.6882866435,481.60456882866436
ADGM,2024-09-23 13:30:00,2024-09-27 13:30:00,3.5199999809265137,2.9919999837875366,1.424347713916469,2.9919999837875366,0.15000000000000002,272,957.4399948120117,-145.38726321220398,-0.15184999999999998,4,hard_stop,9456.867493360944,4805900.301023431,4815900.301023431,481.5900301023431
BENF,2024-09-23 13:30:00,2024-10-10 13:30:00,1.149999976158142,1.3873051389736935,0.39840358680284793,0.9774999797344207,0.15000000000000002,1593,1831.9499620199203,373.98519731676834,0.2041459674501206,13,stop_loss,18700.305180022497,4806274.286220748,4816274.286220748,481.6274286220748
SGLY,2024-09-27 13:30:00,2024-10-25 13:30:00,1.6100000143051147,1.6399999856948853,-0.2156455333620706,1.3685000121593476,0.15000000000000002,288381,464293.4141253233,7714.1834993534085,0.016614888914343238,20,horizon_limit,4765195.729669946,4813988.469720101,4823988.469720101,482.3988469720101
IMG,2024-09-30 13:30:00,2024-10-02 13:30:00,0.4909999966621399,0.4173499971628189,-0.21801892330827455,0.4173499971628189,0.15000000000000002,7386,3626.5259753465652,-550.687969356376,-0.15185,2,hard_stop,41385.53079681672,4813437.781750744,4823437.781750744,482.3437781750744
TRIB,2024-10-01 13:30:00,2024-10-22 13:30:00,1.1699999570846558,1.553993253801035,0.6822487594674456,0.9944999635219574,0.15000000000000002,878287,1027595.752308011,334863.8727679294,0.3258712115302297,15,stop_loss,10610824.069153992,5148301.654518673,5158301.654518673,515.8301654518673
ADGM,2024-10-01 13:30:00,2024-10-29 13:30:00,2.803999900817871,2.799999952316284,0.8527129172192631,2.38339991569519,0.15000000000000002,337,944.9479665756226,-3.2365305955410006,-0.0034250886927348996,20,horizon_limit,9453.630962765403,5148298.417988078,5158298.417988078,515.8298417988078
ZBAI,2024-10-01 13:30:00,2024-10-02 13:30:00,16.3439998626709,13.892399883270263,9.238645562408196,13.892399883270263,0.15000000000000002,223380,3650922.6893234253,-554392.6103737622,-0.15185,1,hard_stop,35954874.02234647,4593905.807614315,4603905.807614315,460.3905807614315
