ticker,entry_date,return,cum_return,equity
AMD,2019-06-17 13:30:00,0.00205477617721632,0.00205477617721632,10020.547761772163
NVDA,2019-06-17 13:30:00,0.05,0.05205477617721632,10520.547761772163
AVGO,2019-06-17 13:30:00,0.049742450206848754,0.10179722638406508,11017.972263840651
NVDA,2019-06-24 13:30:00,0.05,0.15179722638406506,11517.97226384065
AVGO,2019-06-24 13:30:00,0.05,0.20179722638406505,12017.972263840651
TSLA,2019-06-25 13:30:00,0.021796486967022858,0.2235937133510879,12235.937133510879
TSLA,2019-07-02 13:30:00,0.05,0.2735937133510879,12735.937133510879
NVDA,2019-07-05 13:30:00,0.046058723670394035,0.31965243702148194,13196.52437021482
AVGO,2019-07-08 13:30:00,0.04866159913311921,0.3683140361546011,13683.140361546011
TSLA,2019-07-10 13:30:00,0.05,0.4183140361546011,14183.140361546011
NVDA,2019-07-16 13:30:00,0.05,0.4683140361546011,14683.14036154601
AVGO,2019-07-16 13:30:00,0.05,0.5183140361546011,15183.140361546013
TSLA,2019-07-17 13:30:00,0.039315658066123235,0.5576296942207244,15576.296942207244
AMD,2019-08-05 13:30:00,0.05,0.6076296942207244,16076.296942207244
NVDA,2019-08-05 13:30:00,0.004376946924253381,0.6120066411449778,16120.066411449778
AVGO,2019-08-06 13:30:00,0.05,0.6620066411449779,16620.066411449778
NVDA,2019-08-12 13:30:00,0.05,0.7120066411449779,17120.066411449778
TSLA,2019-08-14 13:30:00,0.0055095733282094425,0.7175162144731874,17175.162144731876
NVDA,2019-08-23 13:30:00,0.031211523373240804,0.7487277378464282,17487.27737846428
TSLA,2019-08-23 13:30:00,0.05,0.7987277378464283,17987.277378464285
AVGO,2019-08-28 13:30:00,0.05,0.8487277378464283,18487.27737846428
TSLA,2019-08-30 13:30:00,0.02739244660009238,0.8761201844465207,18761.201844465206
NVDA,2019-08-30 13:30:00,0.05,0.9261201844465208,19261.20184446521
TSLA,2019-09-09 13:30:00,0.05,0.9761201844465208,19761.20184446521
NVDA,2019-09-24 13:30:00,0.008520220073072467,0.9846404045195933,19846.404045195934
NVDA,2019-10-01 13:30:00,0.05,1.0346404045195934,20346.404045195934
NVDA,2019-10-08 13:30:00,0.05,1.0846404045195934,20846.404045195934
AVGO,2019-10-09 13:30:00,0.05,1.1346404045195935,21346.404045195934
TSLA,2019-10-09 13:30:00,0.05,1.1846404045195935,21846.404045195937
NVDA,2019-10-18 13:30:00,0.05,1.2346404045195936,22346.404045195937
AVGO,2019-10-23 13:30:00,0.035388149058699206,1.2700285535782927,22700.285535782925
TSLA,2019-10-24 13:30:00,0.05,1.3200285535782927,23200.28553578293
AVGO,2019-10-30 13:30:00,0.05,1.3700285535782928,23700.28553578293
TSLA,2019-10-31 13:30:00,0.05,1.4200285535782928,24200.28553578293
NVDA,2019-10-31 13:30:00,0.036414305893301385,1.4564428594715941,24564.428594715944
AMD,2019-11-08 14:30:00,0.05,1.5064428594715942,25064.42859471594
NVDA,2019-11-15 14:30:00,0.03281257925295343,1.5392554387245476,25392.554387245476
NVDA,2019-11-22 14:30:00,-0.007776635183522043,1.5314788035410256,25314.788035410256
NVDA,2019-12-02 14:30:00,0.01395459151928505,1.5454333950603107,25454.333950603108
NVDA,2019-12-09 14:30:00,0.05,1.5954333950603108,25954.333950603104
TSLA,2019-12-16 14:30:00,0.05,1.6454333950603108,26454.333950603108
NVDA,2019-12-16 14:30:00,0.05,1.6954333950603109,26954.33395060311
TSLA,2019-12-31 14:30:00,0.05,1.745433395060311,27454.333950603108
TSLA,2020-01-16 14:30:00,0.05,1.795433395060311,27954.333950603108
TSLA,2020-01-24 14:30:00,0.05,1.845433395060311,28454.33395060311
NVDA,2020-01-27 14:30:00,0.0005412359714194583,1.8459746310317304,28459.746310317303
NVDA,2020-02-03 14:30:00,0.05,1.8959746310317305,28959.746310317307
TSLA,2020-02-03 14:30:00,0.05,1.9459746310317305,29459.746310317307
TSLA,2020-02-10 14:30:00,0.05,1.9959746310317306,29959.746310317303
NVDA,2020-02-10 14:30:00,0.05,2.0459746310317306,30459.746310317307
AVGO,2020-02-27 14:30:00,0.00032848588060742736,2.046303116912338,30463.03116912338
NVDA,2020-02-27 14:30:00,0.05,2.096303116912338,30963.03116912338
MSFT,2020-03-09 13:30:00,0.05,2.1463031169123377,31463.031169123376
NVDA,2020-03-09 13:30:00,0.05,2.1963031169123375,31963.031169123376
META,2020-03-12 13:30:00,0.05,2.2463031169123373,32463.031169123373
GOOGL,2020-03-12 13:30:00,0.05,2.296303116912337,32963.03116912337
AMZN,2020-03-12 13:30:00,0.05,2.346303116912337,33463.03116912337
CSCO,2020-03-12 13:30:00,0.05,2.3963031169123368,33963.031169123366
GOOG,2020-03-16 13:30:00,-0.025554915275464676,2.370748201636872,33707.48201636872
AVGO,2020-03-16 13:30:00,0.05,2.4207482016368718,34207.48201636872
NVDA,2020-03-16 13:30:00,0.05,2.4707482016368716,34707.48201636872
INTC,2020-03-16 13:30:00,0.05,2.5207482016368714,35207.48201636871
AMD,2020-03-18 13:30:00,0.05,2.5707482016368712,35707.48201636871
TSLA,2020-03-18 13:30:00,0.05,2.620748201636871,36207.48201636871
QCOM,2020-03-18 13:30:00,0.05,2.670748201636871,36707.48201636871
PEP,2020-03-20 13:30:00,0.05,2.7207482016368707,37207.4820163687
GOOGL,2020-03-20 13:30:00,0.05,2.7707482016368705,37707.4820163687
MSFT,2020-03-20 13:30:00,0.05,2.8207482016368703,38207.4820163687
META,2020-03-20 13:30:00,0.05,2.87074820163687,38707.4820163687
PYPL,2020-03-20 13:30:00,0.05,2.92074820163687,39207.482016368696
AVGO,2020-03-23 13:30:00,0.05,2.97074820163687,39707.482016368696
NVDA,2020-03-23 13:30:00,0.05,3.0207482016368696,40207.4820163687
GOOG,2020-03-25 13:30:00,0.05,3.0707482016368695,40707.48201636869
META,2020-03-27 13:30:00,0.05,3.1207482016368693,41207.482016368696
TSLA,2020-03-30 13:30:00,-0.03,3.0907482016368695,40907.482016368696
AAPL,2020-04-01 13:30:00,0.05,3.1407482016368693,41407.482016368696
GOOGL,2020-04-01 13:30:00,0.05,3.190748201636869,41907.48201636869
GOOG,2020-04-01 13:30:00,0.05,3.240748201636869,42407.48201636869
NVDA,2020-04-01 13:30:00,0.05,3.2907482016368688,42907.48201636869
AVGO,2020-04-01 13:30:00,0.05,3.3407482016368686,43407.48201636869
META,2020-04-03 13:30:00,0.05,3.3907482016368684,43907.48201636868
TSLA,2020-04-06 13:30:00,0.05,3.4407482016368682,44407.48201636868
GOOG,2020-04-08 13:30:00,0.04394850984487418,3.4846967114817424,44846.967114817424
NVDA,2020-04-08 13:30:00,0.05,3.5346967114817422,45346.967114817424
GOOGL,2020-04-08 13:30:00,0.04178127087891031,3.5764779823606525,45764.77982360652
AVGO,2020-04-09 13:30:00,0.05,3.6264779823606523,46264.77982360653
TSLA,2020-04-14 13:30:00,0.05,3.676477982360652,46764.779823606514
AVGO,2020-04-21 13:30:00,0.05,3.726477982360652,47264.77982360652
NVDA,2020-04-21 13:30:00,0.05,3.776477982360652,47764.779823606514
TSLA,2020-04-21 13:30:00,0.05,3.8264779823606516,48264.77982360652
AMZN,2020-04-29 13:30:00,-0.03,3.796477982360652,47964.77982360652
AVGO,2020-05-01 13:30:00,0.05,3.8464779823606516,48464.779823606514
NVDA,2020-05-01 13:30:00,0.05,3.8964779823606515,48964.779823606514
NVDA,2020-05-08 13:30:00,0.05,3.9464779823606513,49464.779823606514
PYPL,2020-05-12 13:30:00,0.0309154126646111,3.9773933950252625,49773.93395025263
AVGO,2020-05-13 13:30:00,0.05,4.027393395025262,50273.93395025262
AVGO,2020-05-20 13:30:00,0.01600398826680828,4.043397383292071,50433.9738329207
NVDA,2020-05-27 13:30:00,0.02865010778720163,4.072047491079272,50720.47491079272
AVGO,2020-05-29 13:30:00,0.05,4.122047491079272,51220.47491079272
NVDA,2020-06-03 13:30:00,0.05,4.1720474910792715,51720.47491079271
NVDA,2020-06-11 13:30:00,0.04794657407456597,4.219994065153838,52199.940651538374
AVGO,2020-06-11 13:30:00,0.05,4.2699940651538375,52699.940651538374
PYPL,2020-06-12 13:30:00,0.05,4.319994065153837,53199.940651538374
NVDA,2020-06-18 13:30:00,0.029507414512278066,4.349501479666116,53495.014796661155
NVDA,2020-06-26 13:30:00,0.05,4.399501479666116,53995.014796661155
NVDA,2020-07-13 13:30:00,0.04561167028507436,4.44511314995119,54451.1314995119
NVDA,2020-07-23 13:30:00,0.04780473917211685,4.492917889123307,54929.17889123307
NVDA,2020-07-30 13:30:00,0.05,4.542917889123307,55429.17889123307
AMD,2020-07-31 13:30:00,0.05,4.5929178891233065,55929.17889123307
NVDA,2020-08-11 13:30:00,0.05,4.642917889123306,56429.17889123306
NVDA,2020-08-18 13:30:00,0.039903773456931094,4.6828216625802375,56828.21662580237
AMD,2020-08-18 13:30:00,0.05,4.732821662580237,57328.21662580237
TSLA,2020-08-20 13:30:00,0.05,4.782821662580237,57828.21662580237
NVDA,2020-08-25 13:30:00,0.05,4.832821662580237,58328.21662580237
TSLA,2020-08-28 13:30:00,0.05,4.882821662580237,58828.216625802364
TSLA,2020-09-08 13:30:00,0.05,4.932821662580237,59328.216625802364
NVDA,2020-09-08 13:30:00,0.05,4.982821662580236,59828.216625802364
TSLA,2020-09-17 13:30:00,0.05,5.032821662580236,60328.216625802364
NVDA,2020-09-18 13:30:00,0.05,5.082821662580236,60828.21662580236
AMZN,2020-09-21 13:30:00,0.05,5.132821662580236,61328.21662580236
TSLA,2020-09-24 13:30:00,0.05,5.182821662580236,61828.21662580236
NVDA,2020-09-25 13:30:00,0.05,5.2328216625802355,62328.21662580236
NVDA,2020-10-02 13:30:00,0.05,5.282821662580235,62828.21662580235
NVDA,2020-10-28 13:30:00,0.05,5.332821662580235,63328.21662580235
NVDA,2020-11-10 14:30:00,0.05,5.382821662580235,63828.21662580235
NVDA,2020-11-24 14:30:00,0.04528178240880783,5.428103444989043,64281.03444989043
NVDA,2020-12-09 14:30:00,0.024109229129203363,5.452212674118247,64522.12674118247
