ticker,Total_Profit,Avg_Profit,Trades,Avg_Return,Avg_Hold_Days,Win_Rate
AAON,60.91,10.15,6,0.01,27.5,0.5
AMAT,57.73,28.87,2,0.03,38.5,0.5
ANIP,50.96,16.99,3,0.02,30.33,0.3333333333333333
ARCB,48.42,48.42,1,0.04,36.0,1.0
ADPT,45.68,11.42,4,0.0,22.0,0.5
ALRM,41.07,41.07,1,0.03,57.0,1.0
AZN,29.87,29.87,1,0.02,29.0,1.0
CLPT,27.25,27.25,1,0.02,16.0,1.0
ATEC,26.62,26.62,1,0.03,40.0,1.0
ANDE,23.5,23.5,1,0.02,20.0,1.0
AEIS,21.08,10.54,2,0.01,28.0,1.0
CDNS,18.51,18.51,1,0.02,41.0,1.0
AMCX,14.06,14.06,1,0.01,11.0,1.0
ACHC,12.69,3.17,4,-0.0,19.5,0.25
ARRY,10.38,10.38,1,0.01,14.0,1.0
BRZE,2.61,2.61,1,0.0,27.0,1.0
CARG,0.29,0.29,1,0.0,21.0,1.0
ADTN,-4.0,-1.33,3,-0.01,26.0,0.6666666666666666
BLMN,-7.83,-7.83,1,-0.01,19.0,0.0
COIN,-10.12,-10.12,1,-0.01,3.0,0.0
ALNY,-10.17,-10.17,1,-0.01,25.0,0.0
AVGO,-14.67,-14.67,1,-0.02,28.0,0.0
AMRK,-22.73,-7.58,3,-0.0,14.67,0.3333333333333333
CNXC,-23.68,-23.68,1,-0.02,19.0,0.0
AFYA,-26.36,-26.36,1,-0.02,34.0,0.0
CECO,-27.82,-27.82,1,-0.02,21.0,0.0
AKRO,-32.25,-8.06,4,-0.01,27.75,0.25
CASY,-34.68,-34.68,1,-0.03,21.0,0.0
ADI,-34.93,-34.93,1,-0.02,23.0,0.0
APP,-37.05,-37.05,1,-0.02,12.0,0.0
AXON,-37.14,-18.57,2,-0.01,23.0,0.5
ALGT,-40.7,-40.7,1,-0.04,12.0,0.0
APLD,-44.46,-44.46,1,-0.04,29.0,0.0
CCC,-45.17,-45.17,1,-0.03,21.0,0.0
AEP,-48.41,-16.14,3,-0.01,10.0,0.3333333333333333
BBCP,-54.87,-54.87,1,-0.04,22.0,0.0
