ticker,entry_date,exit_date,entry_price,exit_price,shares,cost,proceeds,profit,return,holding_days,exit_reason
AVDL,2023-03-15 13:30:00+00:00,2023-03-21 13:30:00+00:00,9.18000030517578,8.049959072419794,108,992.431472991943,868.5261842415164,-123.90528875042662,-0.12485022102017974,6,trailing_stop
BLMN,2023-03-15 13:30:00+00:00,2023-04-03 13:30:00+00:00,25.40999984741211,25.26000022888184,39,991.9809840431212,984.1548689174654,-7.8261151256558605,-0.007889380191299776,19,trend_broken
ANDE,2023-03-15 13:30:00+00:00,2023-04-04 13:30:00+00:00,39.59000015258789,40.61000061035156,25,990.7397538185119,1014.2347652435303,23.495011425018447,0.02371461459426041,20,trend_broken
CARG,2023-03-15 13:30:00+00:00,2023-04-05 13:30:00+00:00,17.399999618530273,17.440000534057617,57,992.7917782344817,993.0859504108429,0.294172176361144,0.00029630803035484565,21,trend_broken
AVGO,2023-03-15 13:30:00+00:00,2023-04-12 13:30:00+00:00,62.604000091552734,61.75012474758674,15,939.9990613746642,925.3256193425873,-14.673442032076878,-0.015610060302207416,28,trailing_stop
ACIC,2023-03-15 13:30:00+00:00,2023-04-18 13:30:00+00:00,2.509999990463257,2.8793232289513586,398,999.9789762005805,1144.824674477518,144.84569827693758,0.1448487435478681,34,trailing_stop
ATEC,2023-03-15 13:30:00+00:00,2023-04-24 13:30:00+00:00,15.100000381469728,15.533984422708867,66,997.596625202179,1024.2177289268866,26.62110372470761,0.02668523835404156,40,trailing_stop
CDNS,2023-03-15 13:30:00+00:00,2023-04-25 13:30:00+00:00,202.94000244140625,207.97754909656956,4,812.5717697753905,831.078286189892,18.506516414501448,0.022775239188554362,41,trailing_stop
AXON,2023-03-15 13:30:00+00:00,2023-04-26 13:30:00+00:00,211.2100067138672,216.2840795863262,4,845.6848668823242,864.2711820269594,18.58631514463525,0.021977826342281598,42,trailing_stop
AAON,2023-03-21 13:30:00+00:00,2023-04-26 13:30:00+00:00,61.11333465576172,63.072596184006095,16,978.7911678466796,1008.1523774051534,29.361209558473774,0.02999741980004563,36,trailing_stop
ADBE,2023-04-03 13:30:00+00:00,2023-04-26 13:30:00+00:00,380.0799865722656,366.55042986921706,2,760.9201331176757,732.3677588786957,-28.552374238980065,-0.03752348373540073,23,trailing_stop
