ticker,entry_date,exit_date,entry_price,exit_price,shares,cost,proceeds,profit,return,holding_days
ACAD,2023-03-15 13:30:00+00:00,2023-03-16 13:30:00+00:00,19.850000381469727,20.6200008392334,50,993.4925190925597,1029.9690419197082,36.476522827148415,0.03671544790338783,1
ATEC,2023-03-15 13:30:00+00:00,2023-03-16 13:30:00+00:00,15.100000381469728,15.460000038146973,66,997.596625202179,1019.3396425151825,21.74301731300352,0.021795399827657744,1
AVGO,2023-03-15 13:30:00+00:00,2023-03-16 13:30:00+00:00,62.604000091552734,63.650001525878906,15,939.9990613746642,953.7952728652954,13.796211490631208,0.014676835390085909,1
BGC,2023-03-15 13:30:00+00:00,2023-03-16 13:30:00+00:00,5.070000171661377,5.400000095367432,197,999.7888238511084,1062.7362187685967,62.94739491748828,0.06296069071368475,1
ANDE,2023-03-15 13:30:00+00:00,2023-03-17 13:30:00+00:00,39.59000015258789,38.150001525878906,25,990.7397538185119,952.7962881088257,-37.943465709686166,-0.038298115689255785,2
ARDX,2023-03-15 13:30:00+00:00,2023-03-17 13:30:00+00:00,3.990000009536743,4.050000190734863,250,998.4975023865699,1011.4875476360321,12.990045249462241,0.013009592130590152,2
AVDL,2023-03-15 13:30:00+00:00,2023-03-20 13:30:00+00:00,9.18000030517578,8.180000305175781,108,992.431472991943,882.5565929260254,-109.87488006591764,-0.11071281298110308,5
AXON,2023-03-15 13:30:00+00:00,2023-03-21 13:30:00+00:00,211.2100067138672,219.67999267578125,4,845.6848668823242,877.8412507324218,32.156383850097654,0.03802407387120972,6
ASTH,2023-03-17 13:30:00+00:00,2023-03-21 13:30:00+00:00,36.93000030517578,39.65999984741211,27,998.1071182479857,1069.7491758842468,71.64205763626114,0.07177792476023725,4
AMD,2023-03-17 13:30:00+00:00,2023-03-23 13:30:00+00:00,97.83999633789062,100.27999877929688,10,979.3783633422851,1001.7971878051758,22.41882446289071,0.02289087170190578,6
ACLS,2023-03-20 13:30:00+00:00,2023-03-23 13:30:00+00:00,131.50999450683594,131.3800048828125,7,921.4905315093993,918.7403741455078,-2.7501573638915033,-0.002984466220598873,3
AAPL,2023-03-21 13:30:00+00:00,2023-03-23 13:30:00+00:00,159.27999877929688,158.92999267578125,6,956.6356726684569,952.6263760986328,-4.009296569824073,-0.004191038118660648,2
ASO,2023-03-17 13:30:00+00:00,2023-03-24 13:30:00+00:00,63.310001373291016,64.94999694824219,15,950.5996706199645,973.2757042694092,22.676033649444662,0.023854451406085327,7
