Ticker,Entrada,Salida,Precio Entrada,Precio Salida,Stop,Objetivo,Resultado (R),Motivo
AACG,2024-11-26,2024-11-27,1.0199999809265137,0.9791999816894531,0.9791999816894531,1.1015999794006348,-1.0,stop
ABL,2024-02-05,2024-02-05,13.029999732971191,12.508799743652343,12.508799743652343,14.072399711608888,-1.0,stop
ABL,2024-02-21,2024-02-22,12.5,12.0,12.0,13.5,-1.0,stop
ABTS,2023-04-10,2023-04-12,0.9900000095367432,1.0692000102996826,0.9504000091552735,1.0692000102996826,2.0,target
ABUS,2021-11-01,2021-11-02,4.0,3.84,3.84,4.32,-1.0,stop
ABUS,2024-02-22,2024-02-29,2.869999885559082,2.7551998901367187,2.7551998901367187,3.0995998764038086,-1.0,stop
ACIC,2023-10-18,2023-10-27,7.460000038146973,7.161600036621094,7.161600036621094,8.05680004119873,-1.0,stop
ACIU,2023-08-17,2023-08-28,3.0199999809265137,3.2615999794006347,2.899199981689453,3.2615999794006347,2.0,target
ACTG,2020-08-26,2020-08-27,3.990000009536743,3.8304000091552735,3.8304000091552735,4.309200010299683,-1.0,stop
ADAMM,2020-06-24,2020-06-30,20.25,19.439999999999998,19.439999999999998,21.870000000000005,-1.0,stop
ADAMN,2020-06-24,2020-06-30,20.649999618530273,19.82399963378906,19.82399963378906,22.3019995880127,-1.0,stop
ADEA,2023-01-03,2023-01-05,9.609999656677246,10.378799629211425,9.225599670410157,10.378799629211425,2.0,target
ADSE,2023-06-20,2023-06-20,6.0,5.76,5.76,6.48,-1.0,stop
ADSE,2024-04-10,2024-04-10,10.470000267028809,10.051200256347656,10.051200256347656,11.307600288391114,-1.0,stop
ADSE,2024-04-12,2024-05-02,10.350000381469727,11.178000411987306,9.936000366210937,11.178000411987306,2.0,target
ADSK,2020-06-23,2020-06-24,242.91000366210938,233.193603515625,233.193603515625,262.3428039550781,-1.0,stop
ADUS,2020-06-25,2020-07-08,91.31999969482422,87.66719970703124,87.66719970703124,98.62559967041017,-1.0,stop
ADV,2023-07-05,2023-07-06,2.390000104904175,2.2944001007080077,2.2944001007080077,2.581200113296509,-1.0,stop
ADXN,2020-10-21,2020-10-28,249.10000610351562,239.136005859375,239.136005859375,269.0280065917969,-1.0,stop
AEC,2023-10-16,2023-10-16,4.5,4.32,4.32,4.859999999999999,-1.0,stop
AEIS,2020-07-23,2020-08-05,70.75,76.41,67.92,76.41,2.0,target
AGEN,2021-07-01,2021-07-08,108.1452407836914,103.81943115234374,103.81943115234374,116.79686004638674,-1.0,stop
AGNCM,2020-06-18,2020-12-17,22.5,24.300000000000004,21.599999999999998,24.300000000000004,2.0,target
AGNCO,2020-06-18,2020-07-02,22.31999969482422,21.42719970703125,21.42719970703125,24.105599670410157,-1.0,stop
AGYS,2020-10-06,2020-10-09,25.200000762939453,27.21600082397461,24.192000732421874,27.21600082397461,2.0,target
AIFF,2020-10-19,2020-10-26,20.100000381469727,21.708000411987307,19.296000366210937,21.708000411987307,2.0,target
AIFF,2020-11-13,2020-11-16,19.5,21.060000000000002,18.72,21.060000000000002,2.0,target
AIFU,2023-02-02,2023-02-06,154.60000610351562,148.416005859375,148.416005859375,166.9680065917969,-1.0,stop
AIHS,2024-03-21,2024-03-26,9.800000190734863,9.408000183105468,9.408000183105468,10.584000205993654,-1.0,stop
