ticker,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,bars_held,exit_reason,weight,commission_pct,slippage_pct,equity,portfolio_return,drawdown
TSLA,2024-01-18 14:30:00,2024-01-25 14:30:00,211.8800048828125,182.6300048828125,-0.13804983635042728,-0.13804983635042728,5,stop_loss,0.017505554646523005,0.0,0.0,9975.83361045824,-0.002416638954176098,-0.002416638954176098
NVDA,2024-02-22 14:30:00,2024-02-29 14:30:00,78.53800201416016,79.11199951171875,0.007308531956989482,0.007308531956989482,5,horizon,0.037890941349671185,0.0,0.0,9978.596189686064,-0.002140381031393579,-0.002140381031393579
NVDA,2024-02-29 14:30:00,2024-03-04 14:30:00,79.11199951171875,85.23699951171875,0.07742188337804194,0.07742188337804194,2,take_profit,0.037890941349671185,0.0,0.0,10007.869280146653,0.0007869280146652891,0.0
NVDA,2024-03-11 13:30:00,2024-03-12 13:30:00,85.77400207519531,91.91300201416016,0.07157180253269492,0.07157180253269492,1,take_profit,0.037890941349671185,0.0,0.0,10035.009850748824,0.00350098507488239,0.0
NVDA,2024-03-18 13:30:00,2024-03-22 13:30:00,88.45500183105469,94.28900146484376,0.06595443460542535,0.06595443460542535,4,take_profit,0.037890941349671185,0.0,0.0,10060.088099146908,0.00600880991469066,0.0
AMD,2024-04-15 13:30:00,2024-04-17 13:30:00,160.32000732421875,154.02000427246094,-0.0392964244257872,-0.0392964244257872,2,stop_loss,0.03488293731999872,0.0,0.0,10046.297984798768,0.004629798479876879,-0.0013707747101447953
META,2024-04-23 13:30:00,2024-04-25 13:30:00,496.1000061035156,441.3800048828125,-0.1103003437764226,-0.1103003437764226,2,stop_loss,0.053118134502942185,0.0,0.0,9987.437242325976,-0.0012562757674023928,-0.007221691908154582
TSLA,2024-05-08 13:30:00,2024-05-10 13:30:00,174.72000122070312,168.47000122070312,-0.03577151989659795,-0.03577151989659795,2,stop_loss,0.017505554646523005,0.0,0.0,9981.183106165163,-0.0018816893834837645,-0.007843369978880799
INTC,2024-05-28 13:30:00,2024-06-04 13:30:00,31.059999465942383,30.030000686645508,-0.03316158393454834,-0.03316158393454834,5,stop_loss,0.030860260200248152,0.0,0.0,9970.968611817214,-0.002903138818278639,-0.008858718378147334
NVDA,2024-05-28 13:30:00,2024-05-31 13:30:00,113.9010009765625,109.63300323486328,-0.0374711170675089,-0.0374711170675089,3,stop_loss,0.037890941349671185,0.0,0.0,9956.811672052612,-0.0043188327947387695,-0.01026595652805995
TSLA,2024-06-14 13:30:00,2024-06-17 13:30:00,178.00999450683594,187.44000244140625,0.052974598199924,0.052974598199924,1,take_profit,0.017505554646523005,0.0,0.0,9966.045118605289,-0.0033954881394711034,-0.009348126936343015
NVDA,2024-06-21 13:30:00,2024-06-24 13:30:00,126.56999969482422,118.11000061035156,-0.06684047645469504,-0.06684047645469504,1,stop_loss,0.037890941349671185,0.0,0.0,9940.804628655915,-0.005919537134408515,-0.011857099989125097
TSLA,2024-06-27 13:30:00,2024-07-01 13:30:00,197.4199981689453,209.8600006103516,0.06301287892202566,0.06301287892202566,2,take_profit,0.017505554646523005,0.0,0.0,9951.770085652306,-0.004822991434769386,-0.010767103868979722
INTC,2024-07-02 13:30:00,2024-07-08 13:30:00,31.06999969482422,33.9900016784668,0.0939813972424662,0.0939813972424662,3,take_profit,0.030860260200248152,0.0,0.0,9980.633108624892,-0.001936689137510772,-0.007898041223789454
TSLA,2024-07-24 13:30:00,2024-07-29 13:30:00,215.9900054931641,232.1000061035156,0.07458678735420178,0.07458678735420178,3,take_profit,0.017505554646523005,0.0,0.0,9993.664652421849,-0.0006335347578151351,-0.006602670480658324
TSLA,2024-08-01 13:30:00,2024-08-02 13:30:00,216.8600006103516,207.6699981689453,-0.042377581921705494,-0.042377581921705494,1,stop_loss,0.017505554646523005,0.0,0.0,9986.250921494406,-0.0013749078505593815,-0.007339615411396161
QCOM,2024-08-02 13:30:00,2024-08-09 13:30:00,159.30999755859375,164.47999572753906,0.032452440199453286,0.032452440199453286,5,horizon,0.04218796254984198,0.0,0.0,9999.923120916817,-7.687908318287917e-06,-0.005980561764184933
NVDA,2024-08-05 13:30:00,2024-08-12 13:30:00,100.4499969482422,109.0199966430664,0.085316077204462,0.085316077204462,5,take_profit,0.037890941349671185,0.0,0.0,10032.249937164692,0.0032249937164692266,-0.00276718868740089
AMZN,2024-08-05 13:30:00,2024-08-12 13:30:00,161.02000427246094,166.8000030517578,0.03589615343393344,0.03589615343393344,5,horizon,0.046740853055181324,0.0,0.0,10049.082214981143,0.004908221498114207,-0.0010940146902588266
AMD,2024-08-07 13:30:00,2024-08-08 13:30:00,128.6699981689453,136.32000732421875,0.05945449027852538,0.05945449027852538,1,take_profit,0.03488293731999872,0.0,0.0,10069.923481484091,0.0069923481484091,0.0
NVDA,2024-08-12 13:30:00,2024-08-13 13:30:00,109.0199966430664,116.13999938964844,0.06530914479747288,0.06530914479747288,1,take_profit,0.037890941349671185,0.0,0.0,10094.8427656289,0.00948427656288997,0.0
INTC,2024-08-13 13:30:00,2024-08-19 13:30:00,20.46999931335449,21.520000457763672,0.051294635057665565,0.051294635057665565,4,take_profit,0.030860260200248152,0.0,0.0,10110.822556329385,0.011082255632938631,0.0
QCOM,2024-08-29 13:30:00,2024-09-03 13:30:00,169.49000549316406,163.24000549316406,-0.03687533068285892,-0.03687533068285892,2,stop_loss,0.04218796254984198,0.0,0.0,10095.09319952626,0.009509319952625939,-0.001555695069861418
INTC,2024-10-02 13:30:00,2024-10-09 13:30:00,22.38999938964844,23.459999084472656,0.04778917927612395,0.04778917927612395,5,horizon,0.030860260200248152,0.0,0.0,10109.981306766025,0.010998130676602491,-8.320288074226134e-05
INTC,2024-10-10 13:30:00,2024-10-16 13:30:00,23.21999931335449,22.309999465942383,-0.039190347731351514,-0.039190347731351514,4,stop_loss,0.030860260200248152,0.0,0.0,10097.754049414683,0.009775404941468224,-0.0012925265814818232
INTC,2024-10-17 13:30:00,2024-10-24 13:30:00,22.440000534057617,22.34000015258789,-0.004456344879223781,-0.004456344879223781,5,horizon,0.030860260200248152,0.0,0.0,10096.365366265307,0.009636536626530745,-0.0014298727906195685
INTC,2024-10-24 13:30:00,2024-10-31 13:30:00,22.34000015258789,21.520000457763672,-0.03670544714518406,-0.03670544714518406,5,stop_loss,0.030860260200248152,0.0,0.0,10084.928812897415,0.008492881289741572,-0.002560992766682535
INTC,2024-10-31 13:30:00,2024-11-01 13:30:00,21.520000457763672,23.200000762939453,0.07806692701856775,0.07806692701856775,1,take_profit,0.030860260200248152,0.0,0.0,10109.225077287028,0.010922507728702735,-0.0001579969417381255
TSLA,2024-11-04 14:30:00,2024-11-06 14:30:00,242.83999633789065,288.5299987792969,0.18814858808444623,0.18814858808444623,2,take_profit,0.017505554646523005,0.0,0.0,10142.521279863133,0.014252127986313257,0.0
INTC,2024-12-10 14:30:00,2024-12-17 14:30:00,20.15999984741211,20.440000534057617,0.013888923053808993,0.013888923053808993,5,horizon,0.030860260200248152,0.0,0.0,10146.868524525993,0.014686852452599375,0.0
INTC,2024-12-17 14:30:00,2024-12-18 14:30:00,20.440000534057617,19.299999237060547,-0.055773056125784974,-0.055773056125784974,1,stop_loss,0.030860260200248152,0.0,0.0,10129.404028435163,0.012940402843516274,-0.0017211710242047706
AMD,2024-12-18 14:30:00,2024-12-26 14:30:00,121.41000366210938,125.05999755859376,0.030063370285718136,0.030063370285718136,5,horizon,0.03488293731999872,0.0,0.0,10140.026720879596,0.014002672087959578,-0.000674277352649244
AVGO,2024-12-19 14:30:00,2024-12-23 14:30:00,218.32000732421875,232.3500061035156,0.06426345872397039,0.06426345872397039,2,take_profit,0.020398823064982835,0.0,0.0,10153.319270997876,0.01533192709978759,0.0
INTC,2024-12-24 14:30:00,2024-12-31 14:30:00,20.399999618530277,20.049999237060547,-0.01715688176541966,-0.01715688176541966,4,horizon,0.030860260200248152,0.0,0.0,10147.9434353269,0.014794343532690046,-0.0005294658355057269
