min_conf,k_atr,hold_min,max_pos,Return,Trades,WinRate,FinalEquity
0.55,3.0,20,10,6.87752946438841,137,0.5255474452554745,78775.2946438841
0.65,2.0,10,10,6.182563558458832,232,0.5129310344827587,71825.63558458832
0.55,3.0,10,10,6.036700309168723,159,0.44025157232704404,70367.00309168723
0.6,3.0,10,10,6.036700309168723,159,0.44025157232704404,70367.00309168723
0.65,2.0,20,10,5.945795355679739,223,0.48878923766816146,69457.9535567974
0.65,3.0,10,10,5.371031236229392,155,0.45806451612903226,63710.31236229392
0.65,2.0,10,5,4.996607209432057,106,0.5188679245283019,59966.07209432057
0.6,2.0,10,10,4.743299161461049,246,0.5,57432.991614610495
0.65,2.5,10,10,4.589317302018093,194,0.5,55893.173020180926
0.6,3.0,20,10,4.470651245511208,137,0.5401459854014599,54706.512455112075
0.65,2.0,20,5,4.418699750459579,99,0.5252525252525253,54186.99750459579
0.65,3.0,20,10,4.407256053849993,136,0.5367647058823529,54072.560538499936
0.6,2.0,20,10,4.007317607066941,224,0.4955357142857143,50073.17607066941
0.55,2.0,10,10,3.8104144378927587,245,0.49387755102040815,48104.14437892759
0.55,2.0,20,5,3.6675550643077606,104,0.5384615384615384,46675.55064307761
0.6,2.0,20,5,3.6675550643077606,104,0.5384615384615384,46675.55064307761
0.55,2.0,10,5,3.2205484343494346,106,0.5283018867924528,42205.48434349435
0.6,2.0,10,5,3.2205484343494346,106,0.5283018867924528,42205.48434349435
0.55,2.0,20,10,3.188319977758226,226,0.4823008849557522,41883.19977758226
0.55,2.5,20,10,2.697219869268377,177,0.5028248587570622,36972.19869268377
0.65,2.5,10,5,2.4460699325590007,81,0.4567901234567901,34460.69932559001
0.6,3.0,20,5,2.44465662467936,66,0.5303030303030303,34446.5662467936
0.55,3.0,20,5,2.44465662467936,66,0.5303030303030303,34446.5662467936
0.65,3.0,20,5,2.3005327332996495,63,0.47619047619047616,33005.327332996494
0.6,2.5,10,10,2.2310533511917514,195,0.49230769230769234,32310.533511917514
0.65,2.5,20,10,2.207307122362699,178,0.5,32073.07122362699
0.65,2.5,20,5,2.149208320728294,77,0.4675324675324675,31492.08320728294
0.6,2.5,10,5,2.1095248443295493,83,0.4819277108433735,31095.248443295495
0.6,2.5,20,10,1.923157671692489,180,0.4888888888888889,29231.57671692489
0.55,2.5,10,10,1.8889615812297973,195,0.49230769230769234,28889.615812297972
0.6,2.5,20,5,1.8791664568474356,81,0.4691358024691358,28791.664568474356
0.65,3.0,10,5,1.6974627298175633,74,0.4594594594594595,26974.627298175634
0.55,3.0,10,5,1.6974627298175633,74,0.4594594594594595,26974.627298175634
0.6,3.0,10,5,1.6974627298175633,74,0.4594594594594595,26974.627298175634
0.55,2.5,20,5,1.6582456907373948,85,0.47058823529411764,26582.456907373948
0.55,2.5,10,5,1.3282035850993277,88,0.4772727272727273,23282.035850993278
