feature,mean_abs_shap,normalized_importance
dmp_14,0.12631328,1.0
atr,0.05700068,0.45126435
volatility_20,0.05636875,0.44626147
dist_sma_200,0.052828252,0.41823196
ma20,0.043828666,0.34698382
sma_50,0.043606892,0.34522808
log_return_3m,0.041402515,0.3277764
return_3m,0.03998868,0.31658334
atr_norm,0.03834381,0.30356118
dmn_14,0.03788662,0.2999417
log_return_6m,0.02826791,0.22379206
sma_200,0.02370757,0.18768865
slope_sma_50,0.021104347,0.16707939
price_rel_ma10,0.020114107,0.15923984
adxr_14_2,0.020017842,0.15847772
rsi_7,0.01933598,0.15307954
dist_sma_50,0.018562505,0.14695609
high,0.015187158,0.12023406
rsi_21,0.014866986,0.11769931
adx_14,0.0148330005,0.11743025
rsi_14,0.013692,0.10839715
ma10,0.011177141,0.088487454
return_6m,0.011076233,0.08768859
slope_rsi_14,0.010729028,0.08493982
low,0.010279391,0.08138013
close,0.009882393,0.07823717
open,0.0067634485,0.053545028
ma10_ma20_cross_status,0.0050413962,0.039911844
volume,3.241494e-06,2.5662335e-05
volume_sma,2.4331125e-06,1.9262523e-05
volume_zscore,2.3718317e-06,1.8777373e-05
volume_ratio,1.5197425e-06,1.20315335e-05
