rank,vol_stop_multiple,ema_period,ema_tolerance,min_momentum_3m,min_adr,max_week_volatility,final_equity,total_return,cagr,sharpe,realized_pnl,profit_factor,max_drawdown,num_trades,status,error
1,1.0,20,0.015,0.25,0.035,0.05,120968.26903353297,0.2096826903353297,0.038854413459719295,0.8188011758054664,20968.26903353299,3.7535714016884687,-0.04740054281617134,16.0,ok,
2,1.0,20,0.015,0.3,0.035,0.05,120968.26903353297,0.2096826903353297,0.038854413459719295,0.8188011758054664,20968.26903353299,3.7535714016884687,-0.04740054281617134,16.0,ok,
3,1.0,20,0.015,0.35,0.035,0.05,105168.03866625232,0.05168038666252328,0.010141360750005823,0.375986407197782,5168.038666252316,3.506005028501191,-0.035886697801980505,4.0,ok,
4,1.0,20,0.02,0.35,0.035,0.05,103846.6150447993,0.038466150447993064,0.007586901652476552,0.28237273165651294,3846.615044799295,2.8774738779382774,-0.04344283885609257,4.0,ok,
5,1.0,35,0.01,0.35,0.035,0.06,106054.51725250842,0.06054517252508429,0.011840672601280522,0.2904679142017036,6054.517252508424,2.443640556922289,-0.06594617084756005,8.0,ok,
6,1.0,35,0.01,0.35,0.035,0.05,102821.0661137812,0.0282106611378119,0.005586423561487086,0.20960938239094487,2821.0661137811985,2.0523638582286026,-0.05288942672653629,4.0,ok,
7,1.0,20,0.01,0.35,0.035,0.05,106845.40975934263,0.06845409759342624,0.013347191461036578,0.3755594619668375,6845.409759342641,2.01280406932538,-0.052030354764522335,12.0,ok,
8,1.0,20,0.02,0.35,0.035,0.06,104153.99129345304,0.04153991293453041,0.008183404391887805,0.24563339752056892,4153.99129345304,1.9924010431845365,-0.04113987930157503,8.0,ok,
9,1.0,20,0.02,0.25,0.035,0.05,102859.70489999287,0.028597048999928765,0.005662082616666675,0.21499324364851674,2859.7048999928666,1.9430764758122112,-0.04346848888840049,5.0,ok,
10,1.0,20,0.02,0.3,0.035,0.05,102859.70489999287,0.028597048999928765,0.005662082616666675,0.21499324364851674,2859.7048999928666,1.9430764758122112,-0.04346848888840049,5.0,ok,
11,1.0,20,0.015,0.25,0.03,0.05,114192.37702292296,0.14192377022922953,0.026931894351457597,0.4554347243450561,14192.377022922967,1.8741727932463739,-0.1088374335177621,33.0,ok,
12,1.0,35,0.01,0.25,0.035,0.06,103989.84603927002,0.039898460392700175,0.007865035069157367,0.1990575628006676,3989.8460392700254,1.6416571438015148,-0.0659770814923969,10.0,ok,
13,1.0,35,0.01,0.3,0.035,0.06,103989.84603927002,0.039898460392700175,0.007865035069157367,0.1990575628006676,3989.8460392700254,1.6416571438015148,-0.0659770814923969,10.0,ok,
14,1.0,20,0.015,0.3,0.03,0.05,111606.26548964904,0.11606265489649048,0.022232020042116662,0.3769124848414396,11606.265489649059,1.6394018050851487,-0.1130824748639443,31.0,ok,
15,1.0,20,0.015,0.35,0.035,0.06,103016.44809191546,0.03016448091915458,0.0059687703467590225,0.20110649298172734,3016.4480919154594,1.6156200243692629,-0.05033761143643356,8.0,ok,
16,1.0,35,0.01,0.25,0.035,0.05,101842.78271651114,0.018427827165111266,0.0036632166510173203,0.14277675635229328,1842.7827165111303,1.5036331776326928,-0.05292523498537238,5.0,ok,
17,1.0,35,0.01,0.3,0.035,0.05,101842.78271651114,0.018427827165111266,0.0036632166510173203,0.14277675635229328,1842.7827165111303,1.5036331776326928,-0.05292523498537238,5.0,ok,
18,1.0,20,0.02,0.35,0.03,0.07,104803.67843330787,0.048036784333078675,0.009439586796456068,0.183900350893264,4803.678433307859,1.3616298689656838,-0.06640281538377668,24.0,ok,
19,1.0,20,0.02,0.25,0.035,0.06,102125.0574920298,0.021250574920298027,0.004219651606140129,0.1340853174841892,2125.0574920297877,1.3433125352575654,-0.05084061721068922,10.0,ok,
20,1.0,20,0.02,0.3,0.035,0.06,102125.0574920298,0.021250574920298027,0.004219651606140129,0.1340853174841892,2125.0574920297877,1.3433125352575654,-0.05084061721068922,10.0,ok,
21,1.0,20,0.01,0.35,0.025,0.05,181258.8532521524,0.8125885325215239,0.12648022117719382,0.6613802061383067,81258.85325215237,1.3127292680756426,-0.33317323040544167,1416.0,ok,
22,1.0,20,0.015,0.25,0.025,0.05,107673.11480058546,0.07673114800585457,0.014914311291005733,0.24049859527692358,7673.114800585467,1.3070443372316831,-0.11111338249989444,47.0,ok,
23,1.0,20,0.02,0.25,0.03,0.06,103501.81622251148,0.03501816222511489,0.006916092913188399,0.13839378313068038,3501.8162225114684,1.3028271678537706,-0.0803501396844456,19.0,ok,
24,1.0,35,0.01,0.35,0.03,0.07,103921.65489000482,0.03921654890004822,0.0077326561734023525,0.14782213592462762,3921.654890004811,1.2705346411799474,-0.08290770886771892,24.0,ok,
25,1.0,20,0.02,0.25,0.025,0.06,103203.93033219303,0.03203930332193039,0.006335113117444946,0.12868489839625813,3203.93033219302,1.2538379445691932,-0.0829969600729148,21.0,ok,
26,1.0,35,0.01,0.35,0.035,0.07,102023.75931448146,0.02023759314481466,0.004020108949037038,0.10559261789148666,2023.7593144814455,1.247308114089086,-0.0771945728044271,15.0,ok,
27,1.0,20,0.02,0.25,0.025,0.05,102499.54910942975,0.02499549109429755,0.004955973985460105,0.10917118017131436,2499.5491094297686,1.2234431422381233,-0.10441654125507516,18.0,ok,
28,1.0,35,0.01,0.25,0.03,0.06,102738.99270356796,0.027389927035679662,0.005425639189295284,0.11099849202085617,2738.9927035679502,1.218244934102633,-0.0840055133542359,19.0,ok,
29,1.0,20,0.015,0.3,0.025,0.05,105165.98169104996,0.05165981691049959,0.010137404386176163,0.17725796947151148,5165.98169104997,1.2165795593786162,-0.13413614854706057,43.0,ok,
30,1.0,35,0.015,0.25,0.025,0.06,102867.24486531246,0.028672448653124682,0.005676844059567143,0.11370092923491909,2867.2448653124666,1.2102157778206142,-0.08657511466249057,21.0,ok,
31,1.0,20,0.01,0.25,0.035,0.05,138558.67486424936,0.38558674864249354,0.06748476801424097,0.4019604981252529,38558.67486424936,1.208288826369371,-0.45808344985303384,1155.0,ok,
32,1.0,20,0.015,0.25,0.035,0.06,105390.7968819712,0.05390796881971194,0.010569445710601588,0.19548939891955022,5390.796881971205,1.201254950264553,-0.12036297931722117,40.0,ok,
33,1.0,20,0.01,0.25,0.03,0.05,140750.81572301884,0.4075081572301884,0.07084548154295311,0.4394610757473704,40750.81572301882,1.19376280840471,-0.37632287541466314,1889.0,ok,
