Ticker,Entrada,Salida,Precio Entrada,Precio Salida,Stop,Resultado (R),Motivo
AACG,2024-11-27,2024-12-05,1.0,0.9019608759779254,0.9019608759779254,-1.0,stop_vol
ABL,2024-02-05,2024-02-08,13.029999732971191,11.815250693131244,11.815250693131244,-1.0,stop_vol
ABL,2024-02-21,2024-03-06,12.5,11.481630877474789,11.481630877474789,-1.0,stop_vol
ABUS,2024-02-22,2024-03-06,2.869999885559082,2.653023692235222,2.653023692235222,-1.0,stop_vol
ACAD,2024-01-03,2024-01-11,30.82999992370605,28.30533629013422,28.30533629013422,-1.0,stop_vol
ACHC,2020-12-07,2021-07-14,42.86000061035156,60.63999938964844,39.04669556012905,4.662621674670216,ema50_break
ACIW,2020-12-14,2021-02-25,39.34999847412109,37.619998931884766,35.9486306460777,-0.5086187762384679,ema50_break
ACIW,2024-01-04,2024-12-18,29.600000381469727,51.900001525878906,27.00503764520994,8.593572783457756,ema50_break
ACNB,2024-01-29,2024-01-31,46.31999969482422,42.20266638861762,42.20266638861762,-1.0,stop_vol
ACNT,2024-03-20,2024-04-17,10.510000228881836,9.763495301603065,9.763495301603065,-1.0,stop_vol
ADAM,2020-12-15,2020-12-21,15.239999771118164,14.117051564029051,14.117051564029051,-1.0,stop_vol
ADAM,2021-01-15,2021-05-12,14.800000190734863,17.1200008392334,13.850268466331707,2.442795779994085,ema50_break
ADEA,2020-12-04,2021-04-19,8.293774604797363,9.127493858337402,7.516369112068452,1.072438079403647,ema50_break
ADEA,2023-07-27,2023-08-08,11.789999961853027,10.814138946930923,10.814138946930923,-1.0,stop_vol
ADEA,2024-01-08,2024-01-17,12.079999923706056,10.924941289150315,10.924941289150315,-1.0,stop_vol
ADEA,2024-02-06,2024-02-21,12.449999809265137,11.419236349916751,11.419236349916751,-1.0,stop_vol
ADMA,2024-01-22,2024-10-14,5.0,16.3700008392334,4.520000457763672,23.687524338586496,ema50_break
ADSK,2020-06-23,2020-09-08,242.91000366210935,224.3600006103516,222.7286856609011,-0.9191670757404041,ema50_break
AEIS,2020-07-24,2020-09-04,71.05000305175781,69.12000274658203,64.34184775864625,-0.2877095447026474,ema50_break
AEIS,2020-12-08,2021-02-25,99.70999908447266,101.3000030517578,90.05998241484806,0.16476696587374878,ema50_break
AGEN,2021-07-01,2021-07-27,108.1452407836914,98.24182027444087,98.24182027444087,-1.0,stop_vol
AIHS,2024-03-21,2024-03-27,9.800000190734863,8.820000171661377,8.820000171661377,-1.0,stop_vol
AIOT,2024-05-21,2024-06-04,5.449999809265137,4.9158801056622545,4.9158801056622545,-1.0,stop_vol
AIRG,2020-08-20,2020-11-06,13.630000114440918,12.322612721168646,12.322612721168646,-1.0,stop_vol
