date,open,high,low,close,volume,ticker
2021-07-22 13:30:00+00:00,57.72999954223633,57.7400016784668,56.65999984741211,57.11000061035156,13493800,XOM
2021-07-23 13:30:00+00:00,57.290000915527344,57.290000915527344,56.470001220703125,57.040000915527344,14088200,XOM
2021-07-26 13:30:00+00:00,57.15999984741211,58.650001525878906,57.0,58.47999954223633,18387600,XOM
2021-07-27 13:30:00+00:00,58.0099983215332,58.0099983215332,57.209999084472656,57.83000183105469,16861400,XOM
2021-07-28 13:30:00+00:00,58.0,58.630001068115234,57.619998931884766,58.220001220703125,16855300,XOM
2021-07-29 13:30:00+00:00,59.0,59.33000183105469,58.560001373291016,58.93000030517578,18607800,XOM
2021-07-30 13:30:00+00:00,58.880001068115234,58.880001068115234,57.31999969482422,57.56999969482422,28652800,XOM
2021-08-02 13:30:00+00:00,57.54999923706055,59.060001373291016,57.400001525878906,57.58000183105469,20873800,XOM
2021-08-03 13:30:00+00:00,57.56999969482422,58.40999984741211,56.93000030517578,58.20000076293945,18208200,XOM
2021-08-04 13:30:00+00:00,57.189998626708984,57.880001068115234,56.810001373291016,56.84000015258789,20868300,XOM
2021-08-05 13:30:00+00:00,57.130001068115234,57.70000076293945,56.83000183105469,57.20000076293945,15180200,XOM
2021-08-06 13:30:00+00:00,57.65999984741211,58.06999969482422,57.529998779296875,57.86000061035156,14888500,XOM
2021-08-09 13:30:00+00:00,57.130001068115234,57.52000045776367,56.83000183105469,57.20000076293945,17828200,XOM
2021-08-10 13:30:00+00:00,57.41999816894531,58.36000061035156,57.29999923706055,58.18000030517578,16340200,XOM
2021-08-11 13:30:00+00:00,58.189998626708984,58.5,57.720001220703125,58.349998474121094,18278600,XOM
2021-08-12 13:30:00+00:00,57.400001525878906,57.790000915527344,56.869998931884766,57.349998474121094,19225500,XOM
2021-08-13 13:30:00+00:00,57.029998779296875,57.06999969482422,56.29999923706055,56.77000045776367,20063000,XOM
2021-08-16 13:30:00+00:00,56.02000045776367,56.09000015258789,55.27000045776367,55.939998626708984,16959500,XOM
2021-08-17 13:30:00+00:00,55.5,56.29999923706055,55.0,55.560001373291016,16243700,XOM
2021-08-18 13:30:00+00:00,55.41999816894531,55.810001373291016,54.310001373291016,54.38999938964844,21890500,XOM
2021-08-19 13:30:00+00:00,53.470001220703125,53.709999084472656,52.099998474121094,52.72999954223633,30923500,XOM
2021-08-20 13:30:00+00:00,52.27000045776367,53.13999938964844,52.11000061035156,52.7400016784668,16918300,XOM
2021-08-23 13:30:00+00:00,53.95000076293945,55.060001373291016,53.95000076293945,54.90999984741211,21632600,XOM
2021-08-24 13:30:00+00:00,55.290000915527344,55.849998474121094,55.0099983215332,55.36000061035156,17915600,XOM
2021-08-25 13:30:00+00:00,55.2400016784668,55.77000045776367,54.869998931884766,55.459999084472656,13270300,XOM
2021-08-26 13:30:00+00:00,55.20000076293945,55.540000915527344,54.630001068115234,54.709999084472656,11842600,XOM
2021-08-27 13:30:00+00:00,55.400001525878906,56.209999084472656,55.400001525878906,55.77000045776367,15822500,XOM
2021-08-30 13:30:00+00:00,56.2400016784668,56.34000015258789,55.119998931884766,55.15999984741211,14086100,XOM
2021-08-31 13:30:00+00:00,54.93000030517578,55.310001373291016,54.459999084472656,54.52000045776367,27104100,XOM
2021-09-01 13:30:00+00:00,54.4900016784668,54.7599983215332,53.599998474121094,53.77000045776367,21644100,XOM
