feature,mean_abs_shap,normalized_importance
volatility_20,0.18295074,1.0
sma_200,0.13424179,0.7337592
rsi_7,0.08605776,0.4703876
dist_sma_200,0.084615685,0.4625053
atr,0.08203565,0.44840297
dist_sma_50,0.0728647,0.39827496
atr_norm,0.06956812,0.38025603
rsi_21,0.06805499,0.37198532
sma_50,0.056460533,0.3086106
close,0.05215525,0.2850781
rsi_14,0.04676651,0.25562352
open,0.037967917,0.20753083
high,0.03043176,0.16633855
low,0.025837244,0.14122514
