as_of,revenue,eps,available_at
2024-03-31 00:00:00+00:00,945570000.0,,2024-05-15 00:00:00+00:00
2024-06-30 00:00:00+00:00,1000083000.0,3.54,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,810404000.0,1.5,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,726647000.0,2.31,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,570706000.0,0.75,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,,1.95,2025-08-14 00:00:00+00:00
