date,open,high,low,close
2021-03-09 14:30:00+00:00,290.625,292.5,267.5,281.25
2021-03-10 14:30:00+00:00,286.25,291.25,271.25,275.0
2021-03-11 14:30:00+00:00,286.25,297.5,275.0,283.75
2021-03-12 14:30:00+00:00,280.0,285.125,275.0,282.5
2021-03-15 13:30:00+00:00,281.25,282.5,253.75,263.75
2021-03-16 13:30:00+00:00,267.75,268.625,257.5,261.25
2021-03-17 13:30:00+00:00,260.625,263.75,245.0,251.75
2021-03-18 13:30:00+00:00,250.625,261.25,230.0,241.25
2021-03-19 13:30:00+00:00,244.875,246.25,231.25,241.0
2021-03-22 13:30:00+00:00,241.25,258.75,240.625,250.0
2021-03-23 13:30:00+00:00,252.5,258.75,237.5,242.5
2021-03-24 13:30:00+00:00,248.5,248.5,215.0,215.25
2021-03-25 13:30:00+00:00,210.0,216.25,186.25,208.75
2021-03-26 13:30:00+00:00,203.75,216.25,197.5,201.25
2021-03-29 13:30:00+00:00,208.75,212.25,197.5,201.625
2021-03-30 13:30:00+00:00,200.0,205.0,184.875,190.0
2021-03-31 13:30:00+00:00,193.75,249.0,179.875,220.25
2021-04-01 13:30:00+00:00,230.0,236.25,213.75,236.25
2021-04-05 13:30:00+00:00,237.5,246.25,211.25,219.125
2021-04-06 13:30:00+00:00,222.5,230.0,208.75,216.875
2021-04-07 13:30:00+00:00,216.875,230.0,212.5,223.75
2021-04-08 13:30:00+00:00,227.5,228.75,208.75,216.75
2021-04-09 13:30:00+00:00,217.5,218.25,201.25,208.75
2021-04-12 13:30:00+00:00,208.75,215.625,189.375,196.25
2021-04-13 13:30:00+00:00,200.625,200.625,183.75,187.5
2021-04-14 13:30:00+00:00,187.5,187.5,172.5,172.5
2021-04-15 13:30:00+00:00,173.75,185.0,170.0,175.0
2021-04-16 13:30:00+00:00,175.0,182.5,170.0,173.75
2021-04-19 13:30:00+00:00,175.0,184.25,168.75,178.75
2021-04-20 13:30:00+00:00,176.25,186.5,150.0,156.25
2021-04-21 13:30:00+00:00,143.75,186.375,135.0,177.5
2021-04-22 13:30:00+00:00,178.75,186.125,163.75,166.875
2021-04-23 13:30:00+00:00,166.25,183.75,166.25,182.5
2021-04-26 13:30:00+00:00,183.75,218.75,182.5,202.5
2021-04-27 13:30:00+00:00,203.125,216.375,200.0,205.0
2021-04-28 13:30:00+00:00,212.5,226.875,205.0,226.375
2021-04-29 13:30:00+00:00,227.5,233.75,206.125,227.5
2021-04-30 13:30:00+00:00,232.5,232.5,212.5,213.75
2021-05-03 13:30:00+00:00,213.125,218.75,190.0,205.625
2021-05-04 13:30:00+00:00,200.0,217.375,187.5,195.0
2021-05-05 13:30:00+00:00,194.375,200.0,187.5,192.5
2021-05-06 13:30:00+00:00,189.375,193.75,162.5,180.25
2021-05-07 13:30:00+00:00,180.0,193.75,180.0,185.625
2021-05-10 13:30:00+00:00,181.25,190.375,162.375,172.5
2021-05-11 13:30:00+00:00,163.75,170.625,151.25,163.375
2021-05-12 13:30:00+00:00,161.875,167.5,154.5,160.0
2021-05-13 13:30:00+00:00,162.5,171.25,153.75,153.75
2021-05-14 13:30:00+00:00,159.375,167.5,155.0,164.875
2021-05-17 13:30:00+00:00,146.25,163.75,146.25,161.875
2021-05-18 13:30:00+00:00,164.375,170.0,157.125,170.0
2021-05-19 13:30:00+00:00,157.5,167.5,156.25,157.5
2021-05-20 13:30:00+00:00,157.5,165.0,156.25,162.5
2021-05-21 13:30:00+00:00,166.25,171.25,161.25,166.25
2021-05-24 13:30:00+00:00,167.5,175.0,163.75,168.75
2021-05-25 13:30:00+00:00,169.25,169.25,160.0,162.5
2021-05-26 13:30:00+00:00,162.5,170.0,158.75,166.25
