as_of,eps,revenue,available_at
2024-03-31 00:00:00+00:00,0.38,,2024-05-15 00:00:00+00:00
2024-06-30 00:00:00+00:00,0.43,55453000.0,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,0.45,58394000.0,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,,70465000.0,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,0.35,61884000.0,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,0.52,65770000.0,2025-08-14 00:00:00+00:00
