as_of,revenue,available_at
2024-06-30 00:00:00+00:00,70514000.0,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,76874000.0,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,95640000.0,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,87115000.0,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,102692000.0,2025-08-14 00:00:00+00:00
