as_of,revenue,eps,available_at
2024-06-30 00:00:00+00:00,75282000.0,0.2,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,61943000.0,0.17,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,34643000.0,-0.06,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,55343000.0,0.06,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,72849000.0,0.23,2025-08-14 00:00:00+00:00
