as_of,revenue,eps,available_at
2024-06-30 00:00:00+00:00,1028490000.0,1.28,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,977872000.0,1.55,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,995219000.0,1.39,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,979262000.0,1.27,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,1012449000.0,1.72,2025-08-14 00:00:00+00:00
