date,open,high,low,close
2019-06-17 13:30:00+00:00,793.5,874.5,778.5,858.0
2019-06-18 13:30:00+00:00,883.5,918.0,850.5,907.5
2019-06-19 13:30:00+00:00,922.5,939.0,895.5,930.0
2019-06-20 13:30:00+00:00,936.0,945.0,855.0,873.0
2019-06-21 13:30:00+00:00,876.0,891.0,858.0,886.5
2019-06-24 13:30:00+00:00,864.0,885.0,808.5,817.5
2019-06-25 13:30:00+00:00,820.5,865.5,820.5,844.5
2019-06-26 13:30:00+00:00,853.5,873.0,819.0,826.5
2019-06-27 13:30:00+00:00,828.0,873.0,828.0,861.0
2019-06-28 13:30:00+00:00,855.0,891.0,853.5,874.5
2019-07-01 13:30:00+00:00,889.5,892.5,817.5,826.5
2019-07-02 13:30:00+00:00,834.0,853.5,772.5,814.5
2019-07-03 13:30:00+00:00,825.0,904.5,825.0,903.0
2019-07-05 13:30:00+00:00,907.5,927.0,874.5,882.0
2019-07-08 13:30:00+00:00,880.5,880.5,846.0,859.5
2019-07-09 13:30:00+00:00,849.0,894.0,847.5,888.0
2019-07-10 13:30:00+00:00,894.0,912.0,876.0,888.0
2019-07-11 13:30:00+00:00,885.0,897.0,850.5,856.5
2019-07-12 13:30:00+00:00,858.0,864.0,834.0,856.5
2019-07-15 13:30:00+00:00,856.5,870.0,843.0,859.5
2019-07-16 13:30:00+00:00,862.5,870.0,838.5,862.5
2019-07-17 13:30:00+00:00,862.5,877.5,844.5,859.5
2019-07-18 13:30:00+00:00,858.0,865.5,843.0,847.5
2019-07-19 13:30:00+00:00,846.0,856.5,819.0,822.0
2019-07-22 13:30:00+00:00,820.5,853.5,819.0,840.0
2019-07-23 13:30:00+00:00,841.5,852.0,819.0,837.0
2019-07-24 13:30:00+00:00,825.0,855.0,814.5,855.0
2019-07-25 13:30:00+00:00,859.5,867.0,832.5,846.0
2019-07-26 13:30:00+00:00,853.5,939.0,849.0,928.5
2019-07-29 13:30:00+00:00,919.5,922.5,864.0,898.5
2019-07-30 13:30:00+00:00,892.5,993.0,889.5,987.0
2019-07-31 13:30:00+00:00,996.0,1087.5,996.0,1041.0
2019-08-01 13:30:00+00:00,1053.0,1065.0,991.5,1015.5
2019-08-02 13:30:00+00:00,1011.0,1015.5,949.5,973.5
2019-08-05 13:30:00+00:00,945.0,964.5,891.0,909.0
2019-08-06 13:30:00+00:00,927.0,928.5,891.0,925.5
2019-08-07 13:30:00+00:00,930.0,943.5,894.0,933.0
2019-08-08 13:30:00+00:00,910.5,940.5,846.0,852.0
2019-08-09 13:30:00+00:00,844.5,853.5,802.5,826.5
2019-08-12 13:30:00+00:00,811.5,826.5,780.0,781.5
2019-08-13 13:30:00+00:00,775.5,817.5,769.5,777.0
2019-08-14 13:30:00+00:00,762.0,789.0,747.0,772.5
2019-08-15 13:30:00+00:00,777.0,783.0,748.5,757.5
