as_of,revenue,eps,available_at
2024-06-30 00:00:00+00:00,36841000.0,-0.06,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,55307000.0,0.7,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,57596000.0,0.8,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,53333000.0,0.63,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,101685000.0,3.28,2025-08-14 00:00:00+00:00
