as_of,revenue,eps,available_at
2024-06-30 00:00:00+00:00,56753000.0,1.17,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,57959000.0,1.22,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,58533000.0,1.22,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,57250000.0,1.21,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,60941000.0,1.39,2025-08-14 00:00:00+00:00
