as_of,revenue,available_at
2024-06-30 00:00:00+00:00,146466000.0,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,149223000.0,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,161423000.0,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,192092000.0,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,259433000.0,2025-08-14 00:00:00+00:00
