ticker,entry_day,exit_day,entry_px,exit_px,qty,ret,pnl,bars_held,exit_reason,is_stop
NVDA,2025-11-12,2025-11-13,195.8374338259616,183.7926477273342,20.0,-0.0615040029034053,-240.89572197254768,2,stop,True
JPM,2025-11-12,2025-11-14,316.44977391190656,306.4516787218145,12.0,-0.03159457207536298,-119.97714228110453,3,stop,True
AMZN,2025-11-14,2025-11-19,235.20103507554333,220.73522918609115,16.0,-0.06150400607210749,-231.45289423123495,4,stop,True
NVDA,2025-11-14,2025-11-21,182.969717203763,176.92265417951407,21.0,-0.03304952926999749,-126.98832350922748,6,stop,True
XOM,2025-11-13,2025-11-25,118.7011806209316,114.50401202524003,33.0,-0.035359114153169946,-138.50656365782163,9,stop,True
JPM,2025-11-28,2025-12-09,309.2854740633039,300.5225075180486,12.0,-0.028332939242603272,-105.15559854306389,8,stop,True
AMZN,2025-11-26,2025-12-16,230.87845108012536,220.84357382613962,17.0,-0.043463897159043086,-170.5929133177576,14,stop,True
XOM,2025-12-02,2025-12-16,116.50987187261236,114.78847818380687,34.0,-0.014774659530031986,-58.52738541938672,11,stop,True
AAPL,2025-12-08,2025-12-29,278.29688427627434,273.5957523910816,14.0,-0.01689250635133155,-65.81584639269852,15,time_stop,False
JPM,2025-12-12,2026-01-05,319.8718088998381,333.8395759417217,12.0,0.04366676478907028,167.6132045026036,15,time_stop,False
XOM,2025-12-23,2026-01-07,118.54108858335574,119.60831762475928,33.0,0.009003030545422064,35.218558366316685,10,stop,True
JPM,2026-01-08,2026-01-13,326.5858570583916,315.8489488427672,12.0,-0.03287621917352257,-128.84289858749275,4,stop,True
AMZN,2025-12-30,2026-01-14,231.34873430478675,237.65473318091676,17.0,0.02725754647017986,107.20198089421032,11,stop,True
NVDA,2025-12-24,2026-01-15,188.05276705239163,186.93777244329266,21.0,-0.0059291582175354796,-23.414886791078402,15,time_stop,False
NVDA,2026-01-16,2026-01-20,189.1934504161702,177.5572958924688,20.0,-0.0615040029034053,-232.72309047402814,2,stop,True
AMZN,2026-01-15,2026-01-21,239.453585102997,226.86221722414197,16.0,-0.05258375176733754,-201.46188606168062,4,stop,True
XOM,2026-01-08,2026-01-29,119.05139674395052,140.4256821506875,33.0,0.1795383001906954,705.3514184223201,15,time_stop,False
NVDA,2026-01-23,2026-02-03,187.6125006080935,176.07358079874246,21.0,-0.061504003048575506,-242.3173159963722,8,stop,True
AMZN,2026-01-23,2026-02-04,235.10098423566401,233.88682864955624,16.0,-0.005164400268485081,-19.426489377724465,9,stop,True
GOOGL,2026-01-26,2026-02-04,328.00668608070595,329.00903792797925,12.0,0.0030558884614524384,12.028222167279637,8,stop,True
AAPL,2026-02-26,2026-03-05,275.114983588989,258.194310345401,14.0,-0.0615040046996016,-236.88942541023198,6,stop,True
XOM,2026-04-09,2026-04-14,156.9541219890823,147.30081061156955,25.0,-0.06150403223041334,-241.33278443781876,4,stop,True
JPM,2026-04-09,2026-04-29,307.1341901151416,309.064442040013,12.0,0.006284718494374397,23.16302309845628,15,time_stop,False
GOOGL,2026-04-10,2026-04-30,320.21200347068736,384.5691048379903,12.0,0.20098278849560458,772.2852164076355,15,time_stop,False
NVDA,2026-04-13,2026-04-30,186.1416173818905,203.03758678982368,21.0,0.09076943482912347,354.8153575665965,14,stop,True
AAPL,2026-04-16,2026-05-06,266.9600691195314,287.33750232233746,14.0,0.0763313901963445,285.28406483928484,15,time_stop,False
JPM,2026-04-30,2026-05-08,307.25425723248804,300.58146148660643,12.0,-0.021717504603467774,-80.07354895057938,7,stop,True
NVDA,2026-05-06,2026-05-18,200.00993397581794,220.7405905055368,19.0,0.1036481344582878,393.88247406465825,9,stop,True
XOM,2026-05-18,2026-05-22,157.41440472275036,153.18641888159772,25.0,-0.02685895136851857,-105.69964602881612,5,stop,True
AAPL,2026-06-12,2026-06-25,296.20761815287295,277.98966351337356,13.0,-0.06150400436391579,-236.83341031349215,9,stop,True
JPM,2026-06-05,2026-06-26,314.4785906397639,328.85254933066113,12.0,0.045707272668881416,172.48750429076654,15,time_stop,False
JPM,2026-07-01,2026-07-22,328.5670255663868,348.00105649740146,12.0,0.05914784326733358,233.20837117217593,15,time_stop,False
NVDA,2026-07-13,2026-07-27,208.66511789402185,195.83137790752048,19.0,-0.06150400275823509,-243.84105974352605,11,stop,True
