feature,mean_abs_shap,normalized_importance
volatility_20,0.023467485,1.0
volume_sma,0.0075022127,0.31968543
log_return_6m,0.005651332,0.24081542
log_return_3m,0.005386871,0.22954614
return_3m,0.004630848,0.19733039
ma20,0.0044664172,0.19032365
dist_sma_200,0.0034130607,0.14543785
atr_norm,0.0032815724,0.13983485
dmn_14,0.0031815947,0.1355746
dist_sma_50,0.00311954,0.13293031
volume_ratio,0.002926479,0.12470357
dmp_14,0.0025792401,0.10990697
volume,0.002561258,0.10914071
price_rel_ma10,0.0020233188,0.08621796
ma10_ma20_cross_status,0.0016196142,0.06901524
sma_50,0.0013940827,0.05940486
sma_200,0.0013519205,0.057608243
atr,0.00095381355,0.040644046
rsi_14,0.00059449795,0.025332836
ma10,0.0005164088,0.02200529
return_6m,0.0005095034,0.021711037
volume_zscore,0.0004006197,0.017071268
high,0.00039876238,0.016992122
adx_14,0.00039229798,0.016716661
slope_sma_50,0.0003881849,0.016541393
adxr_14_2,0.000331504,0.014126099
rsi_7,0.00028366616,0.012087625
rsi_21,0.0002469535,0.0105232205
